request type,RCD-SE
cb36b4ebfe2c48078e33f88e2e3559d9.3d229b9495d241eca0b2bd1a3407bf94,0.0
f1487c21e9d84fe99b2575b2bec8c785.9fe11cedef414a3285d4785861df4a0f,0.0
9ad391e446c1443ba4b8b25a6e8c13d9.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
5efc62c12068462a866557e8c8a09bb5.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
c36aa7f025174baeb6ed267cf480f3c0.94461fa9d5c44634a33df9d8755edfe3,0.0
0f1c831edb41462cb076b6742d462fd0.671cdf58cd1e4f06be50b71bdb499c43,0.0
798f19c1081847298effcd84f7367418.b4d372e00c5946f99bedcfd2d53c25f6,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.941ebc8a5b3e40209238a0ee465886b5,0.0
7576a9787d8445c08f0c13b8f9697673.ffa4f4c8ebcc4da591e89063ab6dd9ec,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.0e4f8ca0761f402d83fd47c4fcb8ca9e,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e.7fd1a219bde4454589e215ed391196ec,0.0
a7a163b991c74bf5947d51644005cd57.b671b67889cd406897591521294e55b2,0.0
9a5bc27da0ed4cd492113a734b32a629.262708498c7d4d51825386bd8978d306,0.0
c0b0128fb8d94304b3a1cd557b8453f8.8b57a2a3c2924f3994447a1aee5e1276,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.18381be1ab614a91bf926e84807ac3c3,0.0
40ffe739f8d347588b6f0ce09a60b80e.79b96e4cce834fd082643196c80e4c27,0.0
62e41f66087a42d08511e07bad22d845.a97c6b73e69b42448837c3ef5d135e34,0.0
0a3f45dc39af41609dae88f472894c21.56a8a70c33c44a24b7635804be59669a,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.6f8ba0eea43b4a0d94b511032261561b,0.0
99383e3dd45c4282958b6e4d27a00bd0.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
40ffe739f8d347588b6f0ce09a60b80e.d5c83509c3be4621a01deb8158ce23e9,0.0
baf4b26427474abfa923eacf3a13fef7.56a8a70c33c44a24b7635804be59669a,0.0
09d84c60b7e942abb726bc56923861f7.a89e0e8a454e43ffa8a75ba3d767e52e,0.0
798f19c1081847298effcd84f7367418.9032e8d9fc444d8fb05a3575573c7ecd,0.0
810966a679c744ccbb5db558ed4c5bd7.149a76df53ea4383956923879e811830,0.0
798f19c1081847298effcd84f7367418.18e3acde416c40cfbbf4c00b6fc6adea,0.0
40ffe739f8d347588b6f0ce09a60b80e.6e83d02ffa204af4a6ac57f37a80d9e6,0.0
caf05ab7a95b487987f7de7b7ca742ac.1e182511de3542d286529901b82b0ce2,0.0
caf05ab7a95b487987f7de7b7ca742ac.48363b7b43d749988f4d7986eb10ccdd,0.0
d83c46df18cb4baf810e55024ce4eb6d.b512b10eb3ba4c23baa73522a3258477,0.0
e9c40280b6cd49b58b2a0af41de7ee47.1a4075d9d22546ee94a6c93a2dddfc91,0.0
39aa3046091345669886a6058ebe3ad9.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
086c8be50f5f4479b800acd002876075.aafce8e8a73d4234a1c4e31744c56f85,0.0
d4474d50a9f744e3b660644b528d88d7.6fe999bfbc68457299baf4b13d070389,0.0
d83c46df18cb4baf810e55024ce4eb6d.dc2c660330184c559fa23de709b1ba5b,0.0
7576a9787d8445c08f0c13b8f9697673.293a314afdb74fbfaedc28b4c3b97c1c,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.513fc083330e4ee7b50054ae3a3f4252,0.0
62e41f66087a42d08511e07bad22d845.e129b45940b54bae901c3fd190e0fa9f,0.0
2fa016ea6387442d8f2a2b3913d6edec.d222c15b1cd44320820ca4babeb16c5f,0.0
77b4e11cd1e24685be2f503cc4268e21.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
810966a679c744ccbb5db558ed4c5bd7.67812267c33b466f824036860521cc50,0.0
caf05ab7a95b487987f7de7b7ca742ac.c53316c63b0f49278573a6ea655689ec,0.0
d28c45983c684c2bbacd9fc0403e905f.4fd55d73a456400bbb0955b3d656fbda,0.0
1e0a7e0f90084557bc98b5684488b9a4.dea81b71ff1e45809b75dc121319af1f,0.0
8f2615c84084492786c01ff7e7cd62c9.64ebcdd50f6e4d84a37a7a1b0f38eb60,0.0
2fa016ea6387442d8f2a2b3913d6edec.d490003170914369b3483e0d06b05304,0.0
254372510419498b911a1bea2c4dd8ba.2dd182d7c638436bb09c124181593a11,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e.7692f5e4ffb046a1aa4c668b68cfce55,0.0
09d84c60b7e942abb726bc56923861f7.ad1b1c01ee8949589054daf01375b40a,0.0
1cc64e7725c2434ebf8d8171a0d762a3.718c9b0006d7471988ca6ecaa89acd68,0.0
615f77405ac842d0a1f32e83826f68b9.738e3948a4e84c158b5e86bee4fef9d8,0.0
7576a9787d8445c08f0c13b8f9697673.a9a4966a4eb74c5cbc7a7a3489e6d70e,0.0
40ffe739f8d347588b6f0ce09a60b80e.08d83f6dcc5043a28e63fa9c091766c4,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.de8e1201145e4dd0bf69ad79cb61a859,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.6658ea00a31343ea86f7bd913261f74d,0.0
d83c46df18cb4baf810e55024ce4eb6d.7440d41bc07641fd8e00c9688a8af58e,0.0
0ce0732386d1419e9943d5c5e78c8083.276aba169ebe4f9db523353da64c0cdd,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.d8bf3a88fd7d4a4f9c1162d7a6777dda,0.0
890fb25c03b44e81adbdae1d635437fb.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
7bf53713db524184afa8ab585f8242b5.56a8a70c33c44a24b7635804be59669a,0.0
94c1337605bb446c90bc6c8e201e9819.46e71945b5d94b07aefb3c8fea6d38f3,0.0
3a1973cead4a4b928ad7bacc22d684d6.39e9a970425a4aeca26ec96de371dbd5,0.0
ebae4e7d857b43bbb383545a6b714626.8152f18a8f8b4fbdafdf15e5a4522ad9,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.f6ebd1707be24f8bbbea7e7563485eed,0.0
1ab1ade15a944256accd31637f1cb562.8152f18a8f8b4fbdafdf15e5a4522ad9,0.0
d83c46df18cb4baf810e55024ce4eb6d.27a7d8a0c5d9400bbddad6a0bf287a2a,0.0
e9c40280b6cd49b58b2a0af41de7ee47.700f300d22e94d18adc187818a5e1b9a,0.0
8f2615c84084492786c01ff7e7cd62c9.99376e9466f141e88efe31a373ed17b9,0.0
40ffe739f8d347588b6f0ce09a60b80e.888aa358c03149a5bc1f24a1056e31c9,0.0
40ffe739f8d347588b6f0ce09a60b80e.c109de5e422c43ae96743944bee3f0cc,0.0
94c1337605bb446c90bc6c8e201e9819.967db1d3b4ed402d9bcb194cd70e7135,0.0
8f2615c84084492786c01ff7e7cd62c9.17fbb0ded6834576805400d544f19c7a,0.0
1a1a9baab8684d9d9675eca026b00a5f.08c92f1dc4ff42ceb0037403aef65f0c,0.0
40ffe739f8d347588b6f0ce09a60b80e.5ccbf66887564963a20ff399f3a5ae76,0.0
897e0fdb7d5f4194b93e27bf75910faa.b3ae51e513e24e9781fb9df4271a7b82,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e.222eba93832942dba29424760639a280,0.0
40ffe739f8d347588b6f0ce09a60b80e.7b158908a517446894eb3f62b4b7bd18,0.0
d93fbd22d82c42739013ebe75a08ab7a.7b0eac1ea41142b6a2b6c88f6a4ebc15,0.0
45257f46efed4cdc83d4eb0efad191a5.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
62e41f66087a42d08511e07bad22d845.b9df85b11a9d4376a2ee57f3fdebfdcf,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.8152f18a8f8b4fbdafdf15e5a4522ad9,0.0
d83c46df18cb4baf810e55024ce4eb6d.debaa69bc5f848e8ba012fae45c08f3a,0.0
caf05ab7a95b487987f7de7b7ca742ac.7c7f3e0823c54945aa2905ec343b01ee,0.0
9ed1d19198b94e7c84df230a3180606f.56a8a70c33c44a24b7635804be59669a,0.0
3fc8956820d3418c975f2992952db803.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
5287434374c24bf1bfb0adc71218a52b.c307ae988d3047dead850eeaf25cb518,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.26382f5d214d46ff8a11810cff849449,0.0
c36aa7f025174baeb6ed267cf480f3c0.3e6919f9f9614536ac7e2866b75a63f3,0.0
e62887a7f3254d0c875f2e5e48382429.99580ed9d0854910ba1611aa906ef6e2,0.0
2fa016ea6387442d8f2a2b3913d6edec.ec035df24dbe4e839108c489ca8ffbd0,0.0
0db7eaddcdfe40a7a2e9870e2886bedb.755217c23301491a9ab7076938b9658f,0.0
8f2615c84084492786c01ff7e7cd62c9.d6bbc3057ebe449f8d18ca1c6bb728f7,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e.3e8d9a42b64a47dea4192a16616280a7,0.0
66250ad1953746f08ee3605328d82999.f1e267cb5975443197288a365a47da9e,0.0
62e41f66087a42d08511e07bad22d845.8896f1a3957e496ca33716b628fae0c1,0.0
40ffe739f8d347588b6f0ce09a60b80e.3fc4b2caa4514f1ebaa54d1c98a45ba6,0.0
897e0fdb7d5f4194b93e27bf75910faa.afc5f200259546fab8eded3753b7c66b,0.0
d4474d50a9f744e3b660644b528d88d7.a79a673b863a4984827698f6c64b1e2f,0.0
ca47653695704b528f85f293f4feea24.a9f1f2ef7bf34d0391a9ae641a9ccf32,0.0
d61da1870d664000b9b4dfa3d81e02bd.59b74790b9204ee28dc0007195cb72e4,0.0
2fa016ea6387442d8f2a2b3913d6edec.bd05d02a3b674e75903b8e2d17ed14e6,0.0
caf05ab7a95b487987f7de7b7ca742ac.47da13327414415f9b446b9fd7909bd7,0.0
d3970bd0940f48d8839d57aea926381b.41cb3c5c09b6446b95c9eb129bb0970f,0.0
4198561aa3704854b748faf6ba98e0f3.5eeb733e02dd4112b058d352d22318f4,0.0
897e0fdb7d5f4194b93e27bf75910faa.96eb57959c7a4174b117a2516fbe5636,0.0
086c8be50f5f4479b800acd002876075.c0f22bb4b6a5446d941cf32a3639ec31,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e.129491ac4ce34a1ebe2f557df7e4ce3d,0.0
254372510419498b911a1bea2c4dd8ba.42e7af5a97554350affd5662442e4231,0.0
40ffe739f8d347588b6f0ce09a60b80e.d1430c0f164d4ce0a83e1c3168c8d601,0.0
09d84c60b7e942abb726bc56923861f7.29ddf92eff854eb393a8f89bc47d8715,0.0
9a5bc27da0ed4cd492113a734b32a629.185985c9bba0412e86045c0345458d41,0.0
7bdf6866816d41f5bed00b0e09f72fda.433562de807349c4bf6d473144d8cbe1,0.0
615f77405ac842d0a1f32e83826f68b9.bfa72533d4674cb89995c05cb23de3a9,0.0
798f19c1081847298effcd84f7367418.45c0a93c465c489e904c7ff37f57a9bf,0.0
9152cf9f4b0045aaa8dd5aad5f1267d9.74858f0e283a4354adc8448cdd658e6d,0.0
b5faa6da193c4fb695b4621831475b62.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
d83c46df18cb4baf810e55024ce4eb6d.2d9b06cad0b84338abbf92fd30721aa0,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.248f2cd5796744079de716c01b8a4028,0.0
7457d2923ff14b7387a8e462ac456b79.6dd6fa9af88548068de5918060abfd79,0.0
caf05ab7a95b487987f7de7b7ca742ac.02f4b99ced1b49a4bed16e7319f5e5c2,0.0
615f77405ac842d0a1f32e83826f68b9.0e814b6ab5284bd0a6e681d8e12b4799,0.0
47806a685cd34630be105554163760d1.aa5d2ac785bb410f8d059ce25c9aef73,0.0
89459fc63de549b08918f664273e8b93.e7602f49975f4e4597565147ac978cfd,0.0
d9534052607849d28a437426670a7d9e.0ac08240fb1b4723b122a0ddafe0ae78,0.0
0a32074affa540468f5d1e4c2af3dd9d.db4f3104b75d4966850eeabbc139a62a,0.0
d83c46df18cb4baf810e55024ce4eb6d.560bedd8a67c4cf89093dbef4d928110,0.0
086c8be50f5f4479b800acd002876075.a4f296af8c604a5bbe30ffe1e43961a9,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.09d82801900b449ca810968db44f2b07,0.0
ca47653695704b528f85f293f4feea24.cef3e7425df541f78b5bb6419c554e77,0.0
798f19c1081847298effcd84f7367418.f8df72c2e4704e9d8a7d8090cba75815,0.0
3a1973cead4a4b928ad7bacc22d684d6.c02aba609a96415e875c74f7228aec9f,0.0
40ffe739f8d347588b6f0ce09a60b80e.a1f3bd5feaf9490ab68a597320645b67,0.0
d83c46df18cb4baf810e55024ce4eb6d.3224bf85c6d547d791662c0f09d869be,0.0
853e0e92847c4cac8059a210aed529b5.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
7576a9787d8445c08f0c13b8f9697673.8caca54523a645f2ae09a5c5952f8111,0.0
f2c992b455f24fad8da96c17b263e607.3ceaf26a36794c229a1d514662823024,0.0
09d84c60b7e942abb726bc56923861f7.7d79345e7bf64ea1a8f5b24a309285e1,0.0
687fff7833b5486e88ed78f4bd03edd8.0e6e8fe7504141c48ac0e64b2db7c0c5,0.0
a746780cbe9a4506a30b193adb553627.28226efb2db04d50b3a4dbab441e03f5,0.0
94c1337605bb446c90bc6c8e201e9819.89b86b6d7eb540e3b14372df46736b2a,0.0
0db7eaddcdfe40a7a2e9870e2886bedb.d008d78b05ae44b1971cc09dc24eb91e,0.0
0ae0dfcbddee49778fac9744c320b39a.2a89f0b2ff184be2b6593f4ce0b64789,0.0
a746780cbe9a4506a30b193adb553627.b37634c8c4f54be6809d8a835e05e3c6,0.0
e971111050cb46cab9eb113d273e73a2.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
40ffe739f8d347588b6f0ce09a60b80e.930017f947824d279c72044da8f419c2,0.0
40ffe739f8d347588b6f0ce09a60b80e.00fa983088ee47a2918d3e061fa1fcc4,0.0
09d84c60b7e942abb726bc56923861f7.bc62329a2de142f08ebc442ef097c594,0.0
09d84c60b7e942abb726bc56923861f7.df4e14d6531344b599d0adfddfb2231a,0.0
d83c46df18cb4baf810e55024ce4eb6d.c01afde944c049899acf3e3fd1a980f3,0.0
40ffe739f8d347588b6f0ce09a60b80e.52ff770eb12a40e98e829f2e60db5216,0.0
ec7ddfed61e041498364a89bc944fcd9.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
4fd2b5d9e23444ceba8815cfdf064b1c.9f0e853bb3a04aaa869caf811d466241,0.0
40ffe739f8d347588b6f0ce09a60b80e.6b919cefd4d743cd8283ae383bb67c6e,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.4cff80d69ec14729920a1059e4d7359b,0.0
63bd864351b84cf6b05645a8423290d6.92740aa7aaea429c9cd4e511dfa07d84,0.0
8d07717213c64953a432734b8c100a55.56a8a70c33c44a24b7635804be59669a,0.0
c1f4cd9fd7704a0a87fae1cc37fe374d.50e0407e4116434c81bc67c31b5e08a3,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.569f8c35f8f2498a948705f8c02db5d5,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.36c680b9b18d4adf80a1c80b683f3ec8,0.0
40ffe739f8d347588b6f0ce09a60b80e.5661a37c227a4612832225e8de5cb813,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.fcb0520bfec4436fbc176f9fbbde550c,0.0
66cc39fe7e934bf2bf24ff6f6c559524.41df5d98053c4055b33b87669560828f,0.0
d9534052607849d28a437426670a7d9e.4e4ae25763b44957a44e8800ccc88ded,0.0
0db7eaddcdfe40a7a2e9870e2886bedb.5b5048781ec44ba7a6a00de47f0ff148,0.0
63bd864351b84cf6b05645a8423290d6.3f1df1c32d604e8da4f3def8560e7204,0.0
897e0fdb7d5f4194b93e27bf75910faa.9e0514ec06a244c7b81bba04a6bbe2c8,0.0
40ffe739f8d347588b6f0ce09a60b80e.bd2260e9a6804a109b3be46965d38214,0.0
62e41f66087a42d08511e07bad22d845.996cd0ae004c40baaee1a15c9639de3c,0.0
bc2c7e85f9794a589dd0eeff3ef22fbe.9f9c911cb9574b02864f5a4c997bdddb,0.0
1fddb1e94a314bc784e7a859415c0dc5.e01127f31f264dffbe4cb003110e6f54,0.0
c899e54985934a57a3d3286df5bce7ed.edb638b0d6644fe9936d2b48a8c0c64a,0.0
a7a163b991c74bf5947d51644005cd57.0f7e79d234824a1792baf9eb0dce677e,0.0
798f19c1081847298effcd84f7367418.8e647579b39c46fb93c748d9847010d1,0.0
c0b0128fb8d94304b3a1cd557b8453f8.f705fecb38d448eabd8ddbedc92c4416,0.0
d83c46df18cb4baf810e55024ce4eb6d.f410beab75684f6e8b30018f5823b561,0.0
086c8be50f5f4479b800acd002876075.f1eff27e93c04b5f8935aa0cfab0cfaf,0.0
8f2615c84084492786c01ff7e7cd62c9.e2be9d34f0c14257a65dfb6bdaa894f0,0.0
897e0fdb7d5f4194b93e27bf75910faa.1f8f9dbe45444ec7be2ec1cc037d2654,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e.08af4e4a153346eabd24282f1a7c9a76,0.0
02958eaea68a4cb084f51a9dd1282ebc.8152f18a8f8b4fbdafdf15e5a4522ad9,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.efc197bfaeb44fa298b7ea0f1ddecd61,0.0
b043e94421944a7181b97fe224874680.b9d1a997fd18441d9ed571b3f447e8cc,0.0
086c8be50f5f4479b800acd002876075.992ce2ae570341189b747e8b95966444,0.0
40ffe739f8d347588b6f0ce09a60b80e.c565036400444d9f95175817e9f2f82f,0.0
1e0a7e0f90084557bc98b5684488b9a4.a08db08afe764fc6b3f108ec5013f908,0.0
f2c992b455f24fad8da96c17b263e607.25a6220bc5cc4dffb33fe692c645b3cb,0.0
4ecaa31dce4f4a89a0acafcebb16861f.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
bab2683448e04ef7b2d7a78196cfeffe.bb4063b2bdfc41beb9f880ee6a59d7a0,0.0
7576a9787d8445c08f0c13b8f9697673.92ec65e1cec24035b008b4b92337f2ef,0.0
a4641b2985944c338dec7db1eba440c9.9256fb916bf04782a9e711e51a73f106,0.0
7576a9787d8445c08f0c13b8f9697673.a3e840c8133a4670983d217fd34181b5,0.0
f296ec6acfed45fb82b0d0578480605e.2c40eec1dac847f7b638047f5e57db93,0.0
8f2615c84084492786c01ff7e7cd62c9.d59a297231954f39afcf6144e03f4e01,0.0
bab2683448e04ef7b2d7a78196cfeffe.6c03bfd47e36480db7876f29f36ca103,0.0
ca47653695704b528f85f293f4feea24.faf595b9a8e44eb4892a4a385510b069,0.0
2e03e4b59f324286af529250ab75a9bf.f915cf8887834e2aa5cc8b25b82a0fa2,0.0
615f77405ac842d0a1f32e83826f68b9.a619ccf90f38419682905aa642daeaf6,0.0
47806a685cd34630be105554163760d1.e5b190866c644e13941e85eb45a142e0,0.0
62e41f66087a42d08511e07bad22d845.092886adba8a440a89b91103785380b6,0.0
853e0e92847c4cac8059a210aed529b5.c30cc8c1d5254138a1416e51b23b0975,0.0
4725dcf727a848a3856928b38f8f1250.8152f18a8f8b4fbdafdf15e5a4522ad9,0.0
4725dcf727a848a3856928b38f8f1250.eba99cb6d30c4ae2a9e4d11dbf587bc9,0.0
caf05ab7a95b487987f7de7b7ca742ac.3aed469ab13c4151a847d466efdd41a7,0.0
eee4f87c95624e5680547a7ac8a02d40.4b24c26fd89f4d639652c4be34fe7469,0.0
63bd864351b84cf6b05645a8423290d6.ff9357d83c76497da8d6408cb3f87dce,0.0
4725dcf727a848a3856928b38f8f1250.43c92667254743c6bc295e0bfe040617,0.0
62e41f66087a42d08511e07bad22d845.09ef5a2bc7de452aa930f538198adeb1,0.0
3a6be7678fdf4129a6bc177071a34aae.1bd4ca6e00534febbfc543e380dc2be1,0.0
ca47653695704b528f85f293f4feea24.921d40fd3d27469f810f6d9c43b855c1,0.0
927e81cd78b8449bb016ea73b53e6544.921deb14b44a49cda0fb44d4d916dfb8,0.0
94c1337605bb446c90bc6c8e201e9819.c25ab448eb8d4188a1a0abb9e76118d8,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.98561b125fb94a18b6c1e77face72af5,0.0
9a5bc27da0ed4cd492113a734b32a629.52e1a100b9054c6d8f47f629407c2c2f,0.0
6ee279d525ba4246a9d6c885146a938e.658b7b1567f240cb9853a20de180959b,0.0
ca47653695704b528f85f293f4feea24.fbd54d13afdb4ec095ca569e6571e6e2,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.cb4c68082a584f408004cac7dc9a870f,0.0
798f19c1081847298effcd84f7367418.5138b3fa46654b8683e52717c7ded4fd,0.0
94c1337605bb446c90bc6c8e201e9819.4240ffecdea941d48271256f050b3470,0.0
62e41f66087a42d08511e07bad22d845.58f88439ddaa4ef9a2773558b67f2c7d,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.d5e8231995c94fb19f5159503fd65af6,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.80329b24a9bf4970bab5c1a07edec9de,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e.684341be3db9495593f99ce1f1311fcc,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.1d9159e9aa28432b95a49e66fdf8b4f5,0.0
738ab376a6cf4e9491e9d945a2c4991b.56a8a70c33c44a24b7635804be59669a,0.0
650fff19f8fb4d98b282e51b88568beb.8152f18a8f8b4fbdafdf15e5a4522ad9,0.0
8c0bfdb034b644ff9a77cdd91e445981.06ffe4c06dc140cba7a02066a7f97863,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.a41a30066d88485988dd1a3430e37626,0.0
5eadf68a913a417fb76495bfde1726bd.0cdf0c664db544c3871f48aa26688f71,0.0
89820d92e0424e8ab7286084af8fef91.78b2c9dc7a9644d0b4c6ebb167d8dc8e,0.0
2fa016ea6387442d8f2a2b3913d6edec.a7c4d9fc417f4d9fab0bfb3445c4be43,0.0
49f79feffe4546a5981af89ad3ac149c.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
d93fbd22d82c42739013ebe75a08ab7a.f42034eb537e4ae98311968609e49433,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.09d581148d7640fa9f79e060e28d04ae,0.0
9a5bc27da0ed4cd492113a734b32a629.d0a802bdb6a648739486bf5b2ffb9256,0.0
5250e0c4eef5483e8374e7dc71044909.f99097c800014be38c6c12ad86529eb1,0.0
ca47653695704b528f85f293f4feea24.485aea5b48ec4e10a82c82416befa6d1,0.0
927e81cd78b8449bb016ea73b53e6544.286424f954ae4624b21a8678b7837210,0.0
8f2615c84084492786c01ff7e7cd62c9.9dc68605d70e42b6a988a2786cdbe571,0.0
e9c40280b6cd49b58b2a0af41de7ee47.4691d5606f04453d90adc35e239fe2e0,0.0
c36aa7f025174baeb6ed267cf480f3c0.1e81cae1d3e148b3b9fa349aaf6470af,0.0
0db7eaddcdfe40a7a2e9870e2886bedb.1cac3c39196a420f858a9dd321f69d83,0.0
7ba56905371041cfa9504de98bff3e8e.56a8a70c33c44a24b7635804be59669a,0.0
9319923da7b348338bfb2129520ed685.41756285e4bb4025b12a683f61ef91dd,0.0
8d9177359d1646fa943d84195825a730.0d995e5fbede4e9d9e2c06c51122c537,0.0
897e0fdb7d5f4194b93e27bf75910faa.962c9a9a668b494ea7037143353ca2ff,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.ddd65230224d4214a71f9dc4684193d2,0.0
96ff4a4dd2244e4c88c9f4c8ac236ef5.0592a519729c4c19b57e364dcffadfea,0.0
09d84c60b7e942abb726bc56923861f7.5a915374aeb74064a0b96437533d7291,0.0
05a276428f484833a1054b945b1bb575.93983e1629124fc598518f5602563bf3,0.0
f2c992b455f24fad8da96c17b263e607.4885467841214c918e87e67a3a2bb9a0,0.0
40ffe739f8d347588b6f0ce09a60b80e.e8be794c1c644932bd48d63faa2d3b9e,0.0
9816e42b550c453c885cb6b8404f6e3d.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
cb36b4ebfe2c48078e33f88e2e3559d9.d2d524588d4346bf80c3ac27b506c169,0.0
dd2295be9a28477c98e0d3a1a1fed6c6.d2c0794802a34eb7a1a7ccd59ae44851,0.0
cdb3a4452dc24c8c908b3728367c1dde.c1a8d22c1458436e8c4ce65b2df30ceb,0.0
