service pair,PIP
4f65bd156b324051b9d01ae5927c36c0 <-> c3471ef78a524c9a9d0c85ad644117db,0.0
9152cf9f4b0045aaa8dd5aad5f1267d9 <-> 47806a685cd34630be105554163760d1,0.0
ebec247c85514f9a9f3c9be6821219b2 <-> dd2295be9a28477c98e0d3a1a1fed6c6,0.0
2e4c26802fd94942a4d64e84e95c0d23 <-> 2aa73acd14684d5bba50a815518cbf1e,0.0
f8f917fe770d40a799119757bafc5475 <-> 8d07717213c64953a432734b8c100a55,0.0
367b17dcf7bd49b7ae039c7cb41f2b70 <-> b003571fb38d47b389a206b06e869dd5,0.0
a4641b2985944c338dec7db1eba440c9 <-> e1081a21cc6f4c298b53ba51afb4eeda,0.0
cefa47243b0f48bbb0cbe46b926bcff3 <-> b043e94421944a7181b97fe224874680,0.0
711ae3bba8e9412d99264b4f1581fb54 <-> 798f19c1081847298effcd84f7367418,0.0
66c33bba143f486dbae84e6781c89866 <-> 406814b4b3fd47379a58466f37d4b30e,0.0
7048420b6f974ac78b332f83caf8e016 <-> d70e29f964584805b27ec9cab050eb89,0.0
4fd2b5d9e23444ceba8815cfdf064b1c <-> d9534052607849d28a437426670a7d9e,0.0
c080765d53fa4c61be24f91d9e8918f0 <-> ea497570ea42406da94f2344b1d10dcb,0.0
9a085a1357fa4134a3ab0f0934f81875 <-> 2e0915e70c86482b83f785a166fabbb0,0.0
3b6f0eb18f114562915750f2717954c3 <-> 3af1df6eeadc4987be24a92ea5d3c873,0.0
df2b5bef48e14f868f32f79114c0197d <-> 9a085a1357fa4134a3ab0f0934f81875,0.0
9a085a1357fa4134a3ab0f0934f81875 <-> 490493056a47407b9cb8906ae825bb0f,0.0
75a48fd6fc1b4ed0b7cc88fa2193e57d <-> 897e0fdb7d5f4194b93e27bf75910faa,0.0
a746780cbe9a4506a30b193adb553627 <-> ea497570ea42406da94f2344b1d10dcb,0.0
aee563d1adb14a708fc4bf868867352b <-> ea497570ea42406da94f2344b1d10dcb,0.0
e65a59df2b2143cd841e744e94da27ed <-> d20e2455b0434f95b9855acd760905a5,0.0
bab2683448e04ef7b2d7a78196cfeffe <-> e48e393aa9ff4e7da6c3327e2a0e8a82,0.0
2e03e4b59f324286af529250ab75a9bf <-> ea497570ea42406da94f2344b1d10dcb,0.0
927e81cd78b8449bb016ea73b53e6544 <-> 8c0bfdb034b644ff9a77cdd91e445981,0.0
9676a6491f0f4ec392a010e1788bba33 <-> f1487c21e9d84fe99b2575b2bec8c785,0.0
0091edbb928b421bafe58e13b6df2481 <-> 66bfae54837d4cbeb63643bff3f06ed9,0.0
335ce475732f410d8b05fc7b73dc6f12 <-> 9f266c28942c430f873f728b5983d1cf,0.0
df840dc57fa643c4a2263c66929abcbd <-> ea497570ea42406da94f2344b1d10dcb,0.0
1aaba214c2ef4a67887514b45613a3f9 <-> 66bfae54837d4cbeb63643bff3f06ed9,0.0
d20e2455b0434f95b9855acd760905a5 <-> 7bf53713db524184afa8ab585f8242b5,0.0
cef807f9ac2d4af39fa62412b976af9b <-> 853e0e92847c4cac8059a210aed529b5,0.0
07697cca1811461090a62a5e1b3c9985 <-> 490493056a47407b9cb8906ae825bb0f,0.0
f038b009648748f79fa7b8636b15649d <-> 7bf53713db524184afa8ab585f8242b5,0.0
4694e999538a4c7cae4926c99e784532 <-> afc25092917d4a088fdc7f591fa2eff6,0.0
9f266c28942c430f873f728b5983d1cf <-> e62887a7f3254d0c875f2e5e48382429,0.0
c36aa7f025174baeb6ed267cf480f3c0 <-> 5c5a98d06be244dcba9523e3b74d3719,0.0
d20e2455b0434f95b9855acd760905a5 <-> 490493056a47407b9cb8906ae825bb0f,0.0
3fc8956820d3418c975f2992952db803 <-> f3b5877b0e134d0a91e1eaac10376204,0.0
375b5314337746379a84183a6d756b6a <-> eee4f87c95624e5680547a7ac8a02d40,0.0
d9534052607849d28a437426670a7d9e <-> 574ab0da3f3d4071bbd707b902e02f45,0.0
a493197ba0bc4953a424dfbfa52c65f3 <-> 6a5dc689df284d34bef84010cde2d986,0.0
0db7eaddcdfe40a7a2e9870e2886bedb <-> d4a4ca453df94f23a7806f4eb00cbcb3,0.0
94c1337605bb446c90bc6c8e201e9819 <-> 0ce4e639d3c14322be7d3103da4775b9,0.0
c83bb8dec6bc491e8e06eedfa6aea935 <-> f123eaa3e14741d5ad3bf383ca9a34c3,0.0
39f86058884f4a288eb7ab0bdbc0edd4 <-> 059cd1204f2f49a985775026bae3d9a5,0.0
ecf679e5c6c1459cbca05997812f314e <-> 9f266c28942c430f873f728b5983d1cf,0.0
dd2295be9a28477c98e0d3a1a1fed6c6 <-> 810966a679c744ccbb5db558ed4c5bd7,0.0
