request type,LIC
4ddf82eb6e5d48dfaf1df405c3b37a81.497d2c69eac948f5a558a2a0f1043627,1.0
d404478368d842a4a9a249cfce11815c.3c2e237678d14e3e8844575cb16282f8,1.0
d404478368d842a4a9a249cfce11815c.db57e6c716a9424da0f8919a105600e0,1.0
00b30849693646d79a9c5622bfcacace.0a8ff685a2dd4c82af96fd44ef2b6f4b,1.0
67de8301350246c8a6ea999616f4de22.de39e5942dde4ab78d623209c615ab7a,1.0
b2ebd63eb4684f5489fb2bcf07f37960.cb6a4aea33e14c17832aab879fc6cff7,1.0
55594061a8f7430fb07fc281cfccc75e.7a3e85954f524f6cacf23963d13dcb99,1.0
9091db15481d45109ecd42f0f4220dbd.cbdd1c5d2cc740d99441907e343f1f9d,1.0
fe7084d7e1bb4b3f9d2262dc49c4d21d.00d6c01d64da41248a2527c7845c277a,1.0
fa9ba5f5f56546ecb041c18156023e08.00d6c01d64da41248a2527c7845c277a,1.0
47c61dc106fe4537b37851383630273f.dfe0819de58147ab8e513cbf0b5deb24,1.0
67de8301350246c8a6ea999616f4de22.00d6c01d64da41248a2527c7845c277a,1.0
5c82ba99fc21483694050844a8649f50.ba896e1eeffc4df8985c01a5c6ae9e7b,1.0
8ba7bde9a6e54fa691ec69a34fb98f2c.7295c72fa6c747feb0949265d8e5d5ce,1.0
55594061a8f7430fb07fc281cfccc75e.21b329bc95a34211bf08e83f8851a7e7,1.0
02219cb05db64427a8fb59e3ef608844.26bdcc0aaf634b418f9f47cec24fb712,1.0
46d93b84c83d4d32a22913698ca88b95.3b1216da3eac4545a950af522ff04805,1.0
b86c4cbd26a647f59f2da5dab49adf1a.d87eb803236047dfad1fb7ed6e75ec3e,1.0
74671e89be724f348c7eee376e172441.00d6c01d64da41248a2527c7845c277a,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.2704f56a8b1c41dea6a56bc06f5c7349,1.0
345e4f12a6494ef08628a1464bcf8fa0.79857a0da88e4187a93539de29717e46,1.0
9091db15481d45109ecd42f0f4220dbd.8bb733e444b84c9ca44e98e8f638dde2,1.0
0ea50e90c2fd45a3847eb45c373e95e0.2c53aac11f524dd5b69481087321778a,1.0
02219cb05db64427a8fb59e3ef608844.58acea25219b43d39cf20db24a6b0e66,1.0
3b9f7ce6c04f4a91abece7e142d11768.effb31dd6dc54364bc3f6e8e0d530b5f,1.0
9091db15481d45109ecd42f0f4220dbd.0cba0cae667249b2b0fbe03b177a6712,1.0
2f392262967a4988bfbe431075f329f9.93c8f895fdca47ccbe93ad8596b3d55e,1.0
8ba7bde9a6e54fa691ec69a34fb98f2c.1dc3fc02b00c44d9ada85ce7be6745e6,1.0
4af2df2d3b344fbc87b7ab714f734cff.6800134aabab48e58ad326e5dfbd6ee2,1.0
d3e99c7b9817486b967d67a28ede8014.a994befeb50c46a4a383cdffa44aff75,1.0
23ebdbce9a924a41919cddc413d796fb.79857a0da88e4187a93539de29717e46,1.0
856fa0ab2e38414999df460031f379b2.00d6c01d64da41248a2527c7845c277a,1.0
856fa0ab2e38414999df460031f379b2.55140aa2c0964702b179aefbbbbc67ca,1.0
d404478368d842a4a9a249cfce11815c.55b80f5b6b5e493d8937458589076d42,1.0
3c7568147621435481c85f6f31dcfdaa.8655db98889344628bc89e4db0f8c25b,1.0
47c61dc106fe4537b37851383630273f.340b6b061b8d46a99961b5a906a6d94c,1.0
920c0825a4cb4eaa9c94891e89c843b1.935b31cef42f476f88de1350dd6e71b0,1.0
4ecafd370ce14905997184589c083233.00d6c01d64da41248a2527c7845c277a,1.0
3b4424c38fea470389fda1eb4a99d5ed.70bb4044c98e4424beab94d3903b546e,1.0
4af2df2d3b344fbc87b7ab714f734cff.6f9b19f1d73645528d6bee822e639ef7,1.0
d404478368d842a4a9a249cfce11815c.90355b564823473b9d920167398612c4,1.0
d3e99c7b9817486b967d67a28ede8014.6849caf47c684defb69a004a5749681f,1.0
7e318f75af784603b43d0a988c4c1b13.727146afabc44b32bfeee1108559bb99,1.0
59b523a2e8ab46fbbee65ae67aa3daab.00d6c01d64da41248a2527c7845c277a,1.0
8f9ea551a5ad4235849450e7ca2e2fae.13dbdfc8af734c649d2c400a69ebd8e0,1.0
3e54747f6acb4232adcc843aa61cd93f.00d6c01d64da41248a2527c7845c277a,1.0
0cd73ffcf30c456fa2529fa739e9284e.00d6c01d64da41248a2527c7845c277a,1.0
5b524c4b43434e2aae91467d466d828c.a2c7c6fd1212400aa670ac75a841635e,1.0
d3e99c7b9817486b967d67a28ede8014.ca6d069bb39940bbb320d5a850ca3029,1.0
02219cb05db64427a8fb59e3ef608844.5d501077f8b84f1c908a08c002037c85,1.0
d404478368d842a4a9a249cfce11815c.5127c8ae1c0c4e7d86220f547d98f9a1,1.0
4ddf82eb6e5d48dfaf1df405c3b37a81.3e856a2e4bc24bfb93f6210337b6a681,1.0
47c61dc106fe4537b37851383630273f.5d5a8648a80f49f2a11fac03bc943a0f,1.0
02219cb05db64427a8fb59e3ef608844.2080034b9b924d898c48a2961354cb68,1.0
d404478368d842a4a9a249cfce11815c.912f08416cfc42169d8c866ebf2b1c37,1.0
9091db15481d45109ecd42f0f4220dbd.0d73498b1c4e4aefbeb0529e3fd74909,1.0
160acaf9ca3744b991246e1638d42d4f.79857a0da88e4187a93539de29717e46,1.0
43b9188c92724c1c9b9a7e75d8f9d2ed.3ff300bbd6d54db585a63209a444e51f,1.0
aa983374928c49bf86381595d2fe005c.0316bb4caa0b417a9e2ba95dcccbdb6d,1.0
c1e55109fee14b3ea7630941c51c5523.5f29e34f885d4472908bc11816a6dac4,1.0
c1e55109fee14b3ea7630941c51c5523.d2c50c4b73d54bc89b536816fffa43f5,1.0
d404478368d842a4a9a249cfce11815c.8379c524a3a8474090ec21d92353fe65,1.0
47c61dc106fe4537b37851383630273f.7bc8ede735d84c5aba1cfe21d623812d,1.0
4af2df2d3b344fbc87b7ab714f734cff.00d6c01d64da41248a2527c7845c277a,1.0
55594061a8f7430fb07fc281cfccc75e.00d6c01d64da41248a2527c7845c277a,1.0
