service pair,SIP
9091db15481d45109ecd42f0f4220dbd <-> 856fa0ab2e38414999df460031f379b2,0.0
ca0f854c5b65474d9cdfa3c5304272a1 <-> 83536a01113c414bb7972e270521519a,0.0
900a78c7b7834f9480c83d002512124b <-> 3e375d8ff13246daaf0540da6e7cd404,0.0
ce539b5c4243488882f2d588b5c52287 <-> a264bf617ee44dd497fe4d7a9de63a14,0.0
29a08ff4530a4e3394028db1078830c1 <-> 70a9c940a4b44d2b8a96668c1ee50914,0.0
587e47178cc148c485b623bcc914c27c <-> cffb5ba6ad274d42845684319b024de6,0.0
8bd124e70bc547c8a75f89ba0272ee22 <-> bd3e2a3a27ff401383c65083c3b948d1,0.0
46761f9c081d440a9469b6c42ce92d6b <-> 3e54747f6acb4232adcc843aa61cd93f,0.0
263b10746f204d81b5ad6515f43a6148 <-> 994cdf8286a34d04b4c5180b86629952,0.0
228cbf320bf74d88a1839080a9a80e79 <-> 8eb77985f2254345ba3c37019b2f4636,0.0
29a08ff4530a4e3394028db1078830c1 <-> 017197edb68247119abddfebae83d208,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> 505b8f7263f54e789654806514dbbd6a,0.0
475a25fd5bcc469fa51e3b4ff41598cf <-> fe65c06fabab47be9d053afcd7fcd3a9,0.0
eceee07affe84db38a2866f6e4b606c9 <-> 475a25fd5bcc469fa51e3b4ff41598cf,0.0
2d6e7524c05f43f19ca1065d560504a1 <-> cb75773e45544e55a62f01c6cea7d36b,0.0
587e47178cc148c485b623bcc914c27c <-> 59b523a2e8ab46fbbee65ae67aa3daab,0.0
a9e54467c7f840bc89c9592f9f115170 <-> 8ba7bde9a6e54fa691ec69a34fb98f2c,0.0
db0d1cb7b0dc479abaf7dca87c67c7dd <-> 3718933dbca24e068f545e952918844d,0.0
1bb1c46777c54946a21715006ebd7212 <-> 8c9a59878859482c994550df914e44db,0.0
f6ac23067cdd4793b79bc9f1001d0a54 <-> e7ef84ab5a4647bc8e693e6cdff0a038,0.0
aa93520d6de543698eb87cce83d277ed <-> fe65c06fabab47be9d053afcd7fcd3a9,0.0
3dfd0c327b5d415b8061f0f9e04e01b7 <-> 7e8ba38561f248e5b56fb1d34c3589e3,0.0
3237b5c9c7704822b750d83fad070f79 <-> a8a0d44bf1fb43bcb3718e9f0db27ca2,0.0
017197edb68247119abddfebae83d208 <-> 505b8f7263f54e789654806514dbbd6a,0.0
62c789191edb4db388cc4725f178f52a <-> aa983374928c49bf86381595d2fe005c,0.0
6241632ee5b341a4b4eb793e902c115b <-> a2442895e4f84397adc2795c6a6f22c4,0.0
8eb77985f2254345ba3c37019b2f4636 <-> 856fa0ab2e38414999df460031f379b2,0.0
dec478408da54908860e4d59ca7749f3 <-> 3dfd0c327b5d415b8061f0f9e04e01b7,0.0
c37ba597a21f473d9be587a1ac989c95 <-> b357e32d58554666acdac1f52d5bf0ef,0.0
1cab97c04ef34b4c86f88579a2e5ddb0 <-> 3c7568147621435481c85f6f31dcfdaa,0.0
