request type,RIN
0a29a293ae7f43e6a5678bfe2a6274ad.824ce688b0a94295895f12501712bff9,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.65af8190bf7e4799830c4158d1014d18,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.c900f081224847fab2de48cfb6bb5e03,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.3e505df8d6bc483d9243f8e2aef403af,1.0
d24d0dc9413b4dd290e6756f27b8a2a0.8d0af1588ea54df483167863e85c0c7e,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.03e5da9e966e4f1b82efddd5be6299a5,1.0
cc0f327c8e504e4a9c5aaff0c0652d71.cdd768d0444e4ce79b92410190848f7c,1.0
62830a3beec94e329815936d245b2fe5.68882940d55f4c56954e3c6eabafa83b,1.0
da489fae8b0e4b97bcc05a002a69b0d7.efa886503c414ec28d3029ee0c50be9c,1.0
7448396e800b48649223d2e4798e03e6.cb3b315d677346f2b5c9f541d6bca2fb,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.31bdb462265348b292e702550b42ee4c,1.0
b7f15166066f497eba790e96680de68e.6e6b50b7afc04157892f8f29e6e4c0e3,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.d442fe4c59ae4e0ba7c521bc5407152b,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.ddca10aece2f4961a0e4d0f59033d43d,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.c0874e4d94974866b0526c29ea6919e6,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.dc02fca155ea49158e172a54138a984c,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.a3bb19783bbb4ce78308555cabbfe549,1.0
83e5b60efe91477fa5f767cdf30c4c01.dd8574b9d6ae4a3bb54efe01fc562759,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.b18ae8029ba048368fc55af2c11e6b1e,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.7128ac9ad03d4d5497f36ceed5cb2c4e,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.c5b5c49e5f0e43a8b5b9031401c20997,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.2f1bf60e07384288ace96138b56bfeb9,1.0
86141c6c1ca0424199a2b99139be183b.7adf35f2fbe84fea8735ffc9126562ef,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.3b581c5dd1de4f0293e94270a2ff8635,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.e19bd1b2656f4d68a48d3d4a950b8bac,1.0
b91ccfa6aecb40e99b36fe9f0b999fd6.2fb1f41257764cc5a2dda59aa271a39c,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.8f4f87fc71e04b3abbe3a42e8d925097,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.30c6b7a134e04bc7ad7d28ec86eb0b24,1.0
0a29a293ae7f43e6a5678bfe2a6274ad.6befb377c9b846b287d234c1a15c90f8,1.0
