service pair,DAP
8caf6439fadc4336881e80b5a0c25c7e <-> 4921524b856743e7a2c59c048cbca69d,0.0
c86459218daa44bfa45826ed2fbb42d9 <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
fe0b5dfab9db4a25b6deddff43e379a0 <-> 4921524b856743e7a2c59c048cbca69d,0.0
0a29a293ae7f43e6a5678bfe2a6274ad <-> 4921524b856743e7a2c59c048cbca69d,0.0
4921524b856743e7a2c59c048cbca69d <-> 83e5b60efe91477fa5f767cdf30c4c01,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> 62830a3beec94e329815936d245b2fe5,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> f67d4ca6504f4335880b3085f6d0b146,0.0
01ceae3977254563a290c52b868f3d6c <-> 4921524b856743e7a2c59c048cbca69d,0.0
8caf6439fadc4336881e80b5a0c25c7e <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 4921524b856743e7a2c59c048cbca69d,0.0
d24d0dc9413b4dd290e6756f27b8a2a0 <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
4921524b856743e7a2c59c048cbca69d <-> 423b36c01e15449889aefcb350fc9293,0.0
7448396e800b48649223d2e4798e03e6 <-> 4921524b856743e7a2c59c048cbca69d,0.0
4921524b856743e7a2c59c048cbca69d <-> f67d4ca6504f4335880b3085f6d0b146,0.0
b91ccfa6aecb40e99b36fe9f0b999fd6 <-> 4921524b856743e7a2c59c048cbca69d,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> 83e5b60efe91477fa5f767cdf30c4c01,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> 2a27a97bf6b948f4b02f8c278335e6f4,0.0
4921524b856743e7a2c59c048cbca69d <-> 62830a3beec94e329815936d245b2fe5,0.0
bb305c4c16f9462ca078ef7d25cd9aa9 <-> 4921524b856743e7a2c59c048cbca69d,0.0
4921524b856743e7a2c59c048cbca69d <-> 4ad89a85e6df4c68b5895450f7bd2686,0.0
21b882e8509446a99784383db18b7a2b <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
4921524b856743e7a2c59c048cbca69d <-> 15673e2d9ef5406f9b18eae317e89913,0.0
21b882e8509446a99784383db18b7a2b <-> 4921524b856743e7a2c59c048cbca69d,0.0
da489fae8b0e4b97bcc05a002a69b0d7 <-> 4921524b856743e7a2c59c048cbca69d,0.0
0b5a4c6356954095b88c0dcc15dc5c5f <-> 4921524b856743e7a2c59c048cbca69d,0.0
4921524b856743e7a2c59c048cbca69d <-> cc0f327c8e504e4a9c5aaff0c0652d71,0.0
bb305c4c16f9462ca078ef7d25cd9aa9 <-> f67d4ca6504f4335880b3085f6d0b146,0.0
4921524b856743e7a2c59c048cbca69d <-> 2a27a97bf6b948f4b02f8c278335e6f4,0.0
