service pair,DIP
7448396e800b48649223d2e4798e03e6 <-> 4450ad47454540ceacf0a12019624304,0.0025
7448396e800b48649223d2e4798e03e6 <-> 4921524b856743e7a2c59c048cbca69d,0.0025
01ceae3977254563a290c52b868f3d6c <-> 423d8562e18e4da8b8bc44a817e759c2,0.0028169014084507044
90133ae2cd594306be2dd7e8366a98a9 <-> f2a0d8446e714e19aa12a11e4d527880,0.0032679738562091504
7448396e800b48649223d2e4798e03e6 <-> 15673e2d9ef5406f9b18eae317e89913,0.005
f2a0d8446e714e19aa12a11e4d527880 <-> 15673e2d9ef5406f9b18eae317e89913,0.005128205128205128
b91ccfa6aecb40e99b36fe9f0b999fd6 <-> 7448396e800b48649223d2e4798e03e6,0.0125
da489fae8b0e4b97bcc05a002a69b0d7 <-> 15673e2d9ef5406f9b18eae317e89913,0.01818181818181818
7448396e800b48649223d2e4798e03e6 <-> 423b36c01e15449889aefcb350fc9293,0.02702702702702703
7448396e800b48649223d2e4798e03e6 <-> 0af303ca12f74cffb704f28d649ecb48,0.027149321266968326
90133ae2cd594306be2dd7e8366a98a9 <-> 12867b57696747a5bbe84751650fba14,0.029411764705882353
0b5a4c6356954095b88c0dcc15dc5c5f <-> f2a0d8446e714e19aa12a11e4d527880,0.03076923076923077
15673e2d9ef5406f9b18eae317e89913 <-> 0dd6fef1d1284f8f90eb482354f6ed97,0.0392156862745098
90133ae2cd594306be2dd7e8366a98a9 <-> 0af303ca12f74cffb704f28d649ecb48,0.05555555555555555
b91ccfa6aecb40e99b36fe9f0b999fd6 <-> b0ee407dad4248bf90947f496fac7732,0.06349206349206349
0a29a293ae7f43e6a5678bfe2a6274ad <-> b0ee407dad4248bf90947f496fac7732,0.06349206349206349
da489fae8b0e4b97bcc05a002a69b0d7 <-> 0a29a293ae7f43e6a5678bfe2a6274ad,0.07272727272727272
0a29a293ae7f43e6a5678bfe2a6274ad <-> f2a0d8446e714e19aa12a11e4d527880,0.07692307692307693
423d8562e18e4da8b8bc44a817e759c2 <-> 0a29a293ae7f43e6a5678bfe2a6274ad,0.09014084507042254
7448396e800b48649223d2e4798e03e6 <-> 558ad86b82ac47818878f0a45f0fb642,0.0925
7448396e800b48649223d2e4798e03e6 <-> 83e5b60efe91477fa5f767cdf30c4c01,0.1111111111111111
0a29a293ae7f43e6a5678bfe2a6274ad <-> 0dd6fef1d1284f8f90eb482354f6ed97,0.1111111111111111
90133ae2cd594306be2dd7e8366a98a9 <-> 423d8562e18e4da8b8bc44a817e759c2,0.1352112676056338
0a29a293ae7f43e6a5678bfe2a6274ad <-> 83e5b60efe91477fa5f767cdf30c4c01,0.1388888888888889
7448396e800b48649223d2e4798e03e6 <-> b0ee407dad4248bf90947f496fac7732,0.15873015873015872
f2a0d8446e714e19aa12a11e4d527880 <-> 0af303ca12f74cffb704f28d649ecb48,0.15897435897435896
f2a0d8446e714e19aa12a11e4d527880 <-> 62830a3beec94e329815936d245b2fe5,0.1641025641025641
f2a0d8446e714e19aa12a11e4d527880 <-> 1a7d6dc174ad45469048cbd580c67e36,0.16923076923076924
90133ae2cd594306be2dd7e8366a98a9 <-> 7448396e800b48649223d2e4798e03e6,0.17973856209150327
46484f943b9840568639b5c11cd9c082 <-> 0dd6fef1d1284f8f90eb482354f6ed97,0.2222222222222222
7448396e800b48649223d2e4798e03e6 <-> 4ad89a85e6df4c68b5895450f7bd2686,0.2275
1a7d6dc174ad45469048cbd580c67e36 <-> 83e5b60efe91477fa5f767cdf30c4c01,0.3055555555555556
90133ae2cd594306be2dd7e8366a98a9 <-> 83e5b60efe91477fa5f767cdf30c4c01,0.3055555555555556
f2a0d8446e714e19aa12a11e4d527880 <-> 0dd6fef1d1284f8f90eb482354f6ed97,0.3128205128205128
423d8562e18e4da8b8bc44a817e759c2 <-> 0af303ca12f74cffb704f28d649ecb48,0.3211267605633803
0a29a293ae7f43e6a5678bfe2a6274ad <-> 15673e2d9ef5406f9b18eae317e89913,0.3333333333333333
0a29a293ae7f43e6a5678bfe2a6274ad <-> 7448396e800b48649223d2e4798e03e6,0.355
423d8562e18e4da8b8bc44a817e759c2 <-> 7448396e800b48649223d2e4798e03e6,0.37183098591549296
0a29a293ae7f43e6a5678bfe2a6274ad <-> 62830a3beec94e329815936d245b2fe5,0.39344262295081966
90133ae2cd594306be2dd7e8366a98a9 <-> 0a29a293ae7f43e6a5678bfe2a6274ad,0.4477124183006536
