interface pair,RWR
cb7c10444c01459fbc4691ecb6266e24 <-> adcc97a50ccf4c7a8b0330ab2abf95ee,0
714f412fba1f499da52ba9d651224f9f <-> 114049023ec1447586fddfcc9594df5f,0
335a691349fb4b5da608da706845ee4d <-> 762f45cd8def4e79af01e0f61bec14c9,0
8152a53b7dcc46d0b00f136dd13ac7b1 <-> 762f45cd8def4e79af01e0f61bec14c9,0
f56946f999c64be7a771def512024c69 <-> af6a611a82524d85aaa1e3c67a3835df,0
6314ba09b1634c8db01867d5be9a0bc4 <-> 277b17d17a564df89d2f077c136f1406,0
cb0475aa04104f459e2c71530132cb1d <-> 3f65698ab0094876a0d89e40c50c4360,0
4f86cd7d2a304b559a26f2c6d311eb8d <-> 00e4e433de564942a5aef7df8a51881d,0
440d455576a246eb84e949f9be101d5f <-> f34531e68b864bcf9d72205e6891ac27,0
3ebc28f400654498b0f606c93f432ace <-> 13575a71a6b4404896c366392e698da4,0
81497c462c694814aa6201a1484ace05 <-> 0e87e62efd5e47f8b0c366d09cef0231,0
e68a9a8c2e1e4ee880db96cf4345e8f4 <-> 5466b661923b45f5959f197eff2e169e,0
81af7423dc9d430c8a54a53bffabe131 <-> 277b17d17a564df89d2f077c136f1406,0
10df4f36269c492387d4d7f5c108c94f <-> 8b71b605547e4d87842cc45ff432a72c,0
fb57f9015b2d40f485e7bcc563e90346 <-> cb0475aa04104f459e2c71530132cb1d,0
c814ab65f97f4294a16bdc961f1061bb <-> 67616f09e4154630ba5d58d798523f3c,0
8f72c1272dbb495f9552b7c329242b3a <-> 67616f09e4154630ba5d58d798523f3c,0
2b4ef167d68e477586e0f6022ae5b600 <-> 3b8f6650c1f54abdae458b6c8776868e,0
0e87e62efd5e47f8b0c366d09cef0231 <-> 277b17d17a564df89d2f077c136f1406,0
5adcdc53dd644f198b7e39453ee6ca2a <-> 762f45cd8def4e79af01e0f61bec14c9,0
b33d224fd77a491aaca857aa5f8bb835 <-> 714f412fba1f499da52ba9d651224f9f,0
67616f09e4154630ba5d58d798523f3c <-> 4f4899ed62e7463db4de0ae0279bb993,0
e68a9a8c2e1e4ee880db96cf4345e8f4 <-> 164e6513a5cf4ca59006d098d81b3a6e,0
2c2010a302644080a5bd25b9af12bd5c <-> 973c0dcae701415285685f3abc269bbf,0
7d9e56b153d94fd9a2df62239f0230fa <-> abfafb1fd5d7421cabbdee4c42dea77a,0
81497c462c694814aa6201a1484ace05 <-> 973c0dcae701415285685f3abc269bbf,0
b33d224fd77a491aaca857aa5f8bb835 <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
4b80d2e5b23f4222a908e1066acca1fb <-> c413a6b096364bd788043f63e4073050,0
58e8871e19944b408819ba728b8ebd13 <-> 1baa7bd8fd5c4c9399bcc2b2f7a953f3,0
dbf22b3293a743fe93689ab3413ced25 <-> adcc97a50ccf4c7a8b0330ab2abf95ee,0
13af86e6452f4caea10ec7503b9fc326 <-> 33244ce56c1d4460af79dd89636764e7,0
81497c462c694814aa6201a1484ace05 <-> 3b8f6650c1f54abdae458b6c8776868e,0
86b6899d0a7a4d8a9ce1343da3ddb115 <-> d4720062860c4a358d9df39c0cb20282,0
340008e9d37d42519f466fbc06d985f1 <-> f045ef247103410e977166f7f9d53fb0,0
e41e2acef89b46f49c69cdcec32a1683 <-> cae18748c5804945a627c481f094f87e,0
3ebc28f400654498b0f606c93f432ace <-> dbf22b3293a743fe93689ab3413ced25,0
19921ad8c3bb4bd685201a1ac9edd024 <-> cb0475aa04104f459e2c71530132cb1d,0
c814ab65f97f4294a16bdc961f1061bb <-> 7ad38d344fe943e1ad4e050f7ebe6aba,0
4647a10cd73c493589650b22b5188871 <-> 81497c462c694814aa6201a1484ace05,0
8121a0cd67f64eada53a9c3e603ebe8b <-> 7d9e56b153d94fd9a2df62239f0230fa,0
7c4e7155c641482f8aab21740db1a548 <-> 277b17d17a564df89d2f077c136f1406,0
cb3b315d677346f2b5c9f541d6bca2fb <-> cc441acacfe74a57822123c3a6429f83,0
b33d224fd77a491aaca857aa5f8bb835 <-> c814ab65f97f4294a16bdc961f1061bb,0
5927eeaf8e9c4083ad79a36416e970bc <-> f34531e68b864bcf9d72205e6891ac27,0
c814ab65f97f4294a16bdc961f1061bb <-> 714f412fba1f499da52ba9d651224f9f,0
696aedaa6dfa47fda2516d7f5e3c1981 <-> 682ced4d60cb4dd299bc955fb99d102d,0
7d9e56b153d94fd9a2df62239f0230fa <-> 762f45cd8def4e79af01e0f61bec14c9,0
afe60d79cf0a45a6a94fc2bb56f98211 <-> 5d9ff1c377e44135831ec397d9785c9e,0
cb3b315d677346f2b5c9f541d6bca2fb <-> 2ef3155c81974b288436d7ffc6b3ea11,0
cb3b315d677346f2b5c9f541d6bca2fb <-> 67616f09e4154630ba5d58d798523f3c,0
ccce1cba587c461a8f6468130245c97a <-> e68a9a8c2e1e4ee880db96cf4345e8f4,0
440d455576a246eb84e949f9be101d5f <-> cb7c10444c01459fbc4691ecb6266e24,0
2a83c2a0d6ef473e91e156506a025074 <-> b984c29d8737405e93939cc5017fdf1c,0
8a66258a6568410197ea798cdf16b71b <-> e3915aede2f9414f8be63be3b295222d,0
696aedaa6dfa47fda2516d7f5e3c1981 <-> 3a33ee0e01f74f5abb9d478990835767,0
33dc79fd1baa4356b1565e584d3a1d60 <-> 598b1096f09b4ff9a47c2c49ea0da5f5,0
1baa7bd8fd5c4c9399bcc2b2f7a953f3 <-> 66ef4327ed734af5929e3231005e61e4,0
c03c25985e0a4b99b8dc6b25ac04f5a0 <-> af6a611a82524d85aaa1e3c67a3835df,0
1baa7bd8fd5c4c9399bcc2b2f7a953f3 <-> fea84e3b21584387a401f12ce1bef824,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> b487d06f06dc474e83a6170a14a97921,0
ccce1cba587c461a8f6468130245c97a <-> 9ae055f1258e459e8532aef20ef0d27e,0
c413a6b096364bd788043f63e4073050 <-> adcc97a50ccf4c7a8b0330ab2abf95ee,0
e3915aede2f9414f8be63be3b295222d <-> 8f72c1272dbb495f9552b7c329242b3a,0
356aea9b4d5a4cc2b29ae8c8e2fc8bb1 <-> 76d8743d46ad46d3823c861a9def9a3f,0
a1417e55b78e4220b517aac040367944 <-> 73e127107e5f42d483a090847a443eca,0
0276f639fa6a48b496f691b7ca9b8937 <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
080ba47d822e41358fb3eeb4b0d12f10 <-> accd6ecd716543aab7c9c60cb9033b99,0
c814ab65f97f4294a16bdc961f1061bb <-> c787b980b5a14114a5491f077828e324,0
6e1ef0a67e354326aa4bc92262e97fd8 <-> 7d9e56b153d94fd9a2df62239f0230fa,0
7ad38d344fe943e1ad4e050f7ebe6aba <-> e8f6ff5060ed4556970c7b574e81bb3e,0
58c1c47111304c57a135acb0288ef544 <-> 3a33ee0e01f74f5abb9d478990835767,0
58c1c47111304c57a135acb0288ef544 <-> 682ced4d60cb4dd299bc955fb99d102d,0
7d9e56b153d94fd9a2df62239f0230fa <-> e3915aede2f9414f8be63be3b295222d,0
f6f96cdda0924b3fa60a89f95312b104 <-> 696aedaa6dfa47fda2516d7f5e3c1981,0
cdd768d0444e4ce79b92410190848f7c <-> f82b459e584a4584aa330fa5bd4902db,0
cb7c10444c01459fbc4691ecb6266e24 <-> 006ac0d4793b476b8c1ce3f8b72d554c,0
f0c0423073714318822bf39aec81debd <-> 873485e45bcd4f72a4d73c230c863fdf,0
0b0fb74041ec47fca1873df035bf3274 <-> 762f45cd8def4e79af01e0f61bec14c9,0
5f3db34ef1af4254a265b0979f1dec92 <-> f98ab5fa13f44bef847027a1107eb67f,0
