service,DAH
4FPlCE,0
FP7s3C,0
j170x7,0
Tm43f4,0
LY387V,0
5VY47y,0.017013506
5DK1Wn,0.021097046
05y7c5,0.024462366
dROE58,0.024950236
2g25pd,0.035107376
BO8y4m,0.037037037
1Q3287,0.046840079
3CHIuk,0.049720695
Q4Rnyt,0.050314465
Fs0B1N,0.050376459
6M753a,0.052064069
1HD33Q,0.053200892
3Eorl8,0.054582565
hOSwV4,0.055555556
hH500w,0.05952381
T82JW5,0.0625
O468p8,0.063492063
71c564,0.065292096
328L00,0.066842161
0336w4,0.067162843
1G7nFq,0.067584384
g65g4V,0.071332611
WO360O,0.071428571
R33243,0.073095459
0G27aL,0.077348092
q8CM2Q,0.078150712
Xv4QN0,0.081555422
m8l42u,0.083333333
AY7jgU,0.084745763
k1ciUg,0.08528115
VP33N6,0.085976181
3CJ262,0.086107994
o4Ji1v,0.088827259
QE82H5,0.089311343
mP77o8,0.093851261
7nw7Dj,0.100764822
82wp55,0.103089074
7OEg00,0.103491261
8h1q5W,0.103620038
aw7y6J,0.105764185
3d05wm,0.107924908
Fl4X26,0.108885435
8u8718,0.111111111
PL41E4,0.111409156
45Io2C,0.11231569
IF1F8x,0.113392193
M8eI8T,0.114238653
206tl1,0.11581573
2YewHm,0.11627907
71H0n3,0.116512765
123X7q,0.117647059
8n3gJH,0.123393103
5opwW6,0.125466488
181b22,0.126939093
7Jja15,0.129544843
L7q5d4,0.130337647
6l6K55,0.132850761
22Qy27,0.135184012
h36IqT,0.135218304
5K836g,0.135956761
450785,0.136761327
V4JF4B,0.136792441
064bf4,0.138002474
T60I03,0.142731943
16R4Ph,0.146116271
7f1dML,0.15296828
5h45Eg,0.153217884
15X3Un,0.156993464
v8RsQm,0.157736545
Td7YuW,0.160376697
78581p,0.16095801
6bw5Vj,0.16333563
Oln64V,0.163823536
NHB041,0.165134443
Ou840g,0.169635555
yo1CFG,0.170614294
5R1yE1,0.175
U5u3OO,0.176657076
72d723,0.178571429
fs6k31,0.179168502
5fT524,0.18201622
10566N,0.185070839
4UM1Dv,0.189411079
54sb11,0.194261191
7gd15q,0.196991044
1I1fm8,0.203379571
2l6QDV,0.204806849
207iJ6,0.206637518
5T8FxY,0.208565677
m6O3BI,0.209881365
nkw83D,0.216390369
Na63W4,0.218071402
YepAHS,0.219198683
X52M01,0.22099743
pKe1o4,0.222019523
8lRW6R,0.222984899
