service pair,DAP
78d008,0
q6Xb86,0
7O2n5A,0
NU4fjR,0
C878Ty,0
X6V3g8,0
5RO511,0
78f0ov,0
4c1x47,0
ytBk12,0
MMu7qk,0
k17O61,0
g2DkP4,0
7PMHn8,0
qt4pL3,0
O077pN,0
hvJ2V7,0
2Q2n84,0
S26QqK,0
5G6680,0
HF086u,0
Axnn04,0
2cx62o,0
U3Q276,0
5u6715,0
876A34,0
15uHAQ,0
N41m85,0
25G00Q,0
OktbP6,0
41PqX6,0
Nn7cC0,0
73jgb4,0
r64fAX,0
Qo27H8,0
f53A7e,0
lj0524,0
50c1Fm,0
17cPO6,0
j4s131,0
50y6u4,0
QA87o0,0
Ei66oD,0
hw2u6I,0
4RNU75,0
0H5SB7,0
S84m6C,0
X4x713,0
436q3q,0
54d02j,0
0g53VY,0
B40O75,0
7qA8DY,0
YK2g3j,0
3HU7fF,0
5r288k,0
6vb7pE,0
1o7i16,0
16Q703,0
8715G7,0
ilI00t,0
8H70EB,0
pyCU2T,0
W0H666,0
6F5vT0,0
Gf082L,0
hb7Y1Y,0
g31hKo,0
oQMC5x,0
35uI42,0
75CV70,0
tJS4fi,0
7151b6,0
s27f22,0
80XiVn,0
NDuL4Y,0
2ElH8s,0
0nfvc3,0
i4MjuI,0
08p1KE,0
p43T1j,0
3GAhe8,0
6r4S31,0
04d3jy,0
x42012,0
rVS6mE,0
1Di6kk,0
eR55d1,0
iE5cCN,0
EP5iIM,0
45R51H,0
Ru7872,0
56164d,0
hCJc81,0
o0KxO6,0
0322o2,0
7N4628,0
4mO8x7,0
aoEcI6,0
3w851b,0
l7KV11,0
tBetf1,0
7cJqws,0
T65Udd,0
Ip7q8u,0
Ou7t6q,0
M5SCf3,0
t7Sg2N,0
Q53h0S,0
233k2N,0
b6JiFL,0
Dh42m6,0
66EO0P,0
fU78IR,0
60hn1E,0
11rF5B,0
8qD5nb,0
8c7237,0
77U404,0
LhIarc,0
1l534r,0
01E3l7,0
jb7Sn8,0
1x483I,0
1o3482,0
gkXY41,0
53k82y,0
sKm676,0
d5E2h8,0
qXp350,0
0QAM76,0
P5r2rq,0
10W72k,0
6h5s58,0
5E5W23,0
7JCO77,0
lW76kV,0
24s2Uh,0
XV3Ax5,0
6C317t,0
3Te8Tg,0
IWvxi2,0
38855r,0
73835j,0
6PM7QK,0
R88aW0,0
5CU8t5,0
1lRjX1,0
464W20,0
P2g6O7,0
4c86H3,0
1qNY76,0
wB0756,0
6RR0pe,0
I12KX8,0
126GGe,0
8hs35S,0
as4lph,0
7A7c73,0
ljHEl0,0
4u8bNe,0
XFv75L,0
73R3U0,0
02071R,0
264J3h,0
67c7Y6,0
2f518X,0
K38i0a,0
3hus1f,0
4F2D86,0
0uhj1Q,0
132NRD,0
A53paS,0
46115e,0
65jx8b,0
55g51F,0
56855f,0
p3A5C4,0
08Y8TN,0
Phr55u,0
e037p8,0
7j1wdr,0
63GxBs,0
4331By,0
5oAT6N,0
r57r31,0
0883Uw,0
1bK45Y,0
10cXg8,0
UJS1rq,0
3X2b86,0
s3j6bN,0
35hQYL,0
oE27Tq,0
TNWA2B,0
7cS162,0
S3In8R,0
ORFL4T,0
lY2W40,0
80a6l4,0
eK45t8,0
2772O2,0
eC41CS,0
L81A46,0
0KfO82,0
55Bs8v,0
33dV1g,0
O247xy,0
71bU66,0
65542s,0
8ncRI7,0
5P8wxW,0
HJ1iFj,0
C2dkn6,0
87K5P8,0
u8x1Im,0
g1O156,0
55EV0S,0
Qm8013,0
uj45oe,0
5hli0S,0
S0R2kd,0
U87814,0
VE8kUx,0
DEe24q,0
JHwmN2,0
1Pa5t1,0
25PXLk,0
62x2p0,0
6Pd86S,0
344m62,0
JH54t0,0
8MKceF,0
6tTNqM,0
0B044n,0
cGA8BK,0
3BS53c,0
L2MQGf,0
5xFlY8,0
YRuo6U,0
74vF08,0
65r6L0,0
4yF32v,0
MLy7wV,0
882Qu5,0
51We37,0
FPnE3t,0
d5Y3v4,0
33VH2B,0
jjC48G,0
0TBBFE,0
52aI81,0
31s8Aq,0
JS14Y7,0
d03n30,0
618YO2,0
57Ics0,0
vqmp6W,0
MaY4wA,0
1470B2,0
C628pt,0
7TLsN4,0
iEQ1fR,0
84nWU0,0
a37s06,0
wlT64F,0
K627QN,0
WGc55j,0
2r87O7,0
KQ43m6,0
44ck04,0
3k0505,0
5Im24G,0
TqC27q,0
R6j01b,0
5T1Wq2,0
5I5E54,0
A0xH7K,0
0Q0Rmv,0
r32B54,0
I31MD8,0
KP155H,0
Ob88TV,0
k8T6EO,0
q5c10D,0
