service pair,DIP
s1R82F,5.07E-05
r742S4,5.07E-05
G8E08u,9.29E-05
y7I3ds,9.37E-05
vhK67s,9.37E-05
5603D5,1.52E-04
105x7h,1.87E-04
rmTfV5,2.15E-04
0u2J6J,2.62E-04
Y3487I,2.93E-04
k443f4,2.96E-04
27UrXd,3.06E-04
NTCTo2,3.06E-04
BT3Nw7,3.06E-04
CS3Vc0,3.06E-04
2kX787,3.17E-04
3I303k,3.17E-04
4G56km,3.17E-04
34h40q,3.18E-04
ETuA4L,3.18E-04
1f5MMQ,3.18E-04
RQtpBc,3.18E-04
GrA7L4,3.92E-04
2Bcfa5,3.92E-04
Sa8R40,3.92E-04
f421Ap,3.95E-04
u8l6Ou,4.05E-04
4ghrB4,4.09E-04
761TE7,4.09E-04
F63C16,4.39E-04
2BIrCN,4.39E-04
2NyTV1,4.39E-04
fV0J68,4.39E-04
rt5p23,4.39E-04
V2h125,4.48E-04
V6etXo,4.56E-04
064Gen,4.56E-04
35OjJ6,4.56E-04
I08S20,5.25E-04
6326x1,5.55E-04
qF5j7l,5.55E-04
83283Q,5.92E-04
Tak6VY,5.92E-04
lD77vN,6.11E-04
G3eXJ6,6.35E-04
15pSVF,6.35E-04
o8281L,6.35E-04
V75Uw4,6.35E-04
Q27C0I,6.35E-04
e508qL,6.36E-04
NUb30R,6.36E-04
3W63r4,6.79E-04
3d06JS,7.03E-04
q1xo17,7.03E-04
3x01g7,7.31E-04
Q7dR6P,7.54E-04
F70ybr,7.55E-04
t1EnMH,7.55E-04
d0TX8V,7.85E-04
873a8Y,7.85E-04
xw57j8,7.87E-04
1sLmef,7.93E-04
6Epq58,7.93E-04
f4py32,7.93E-04
2iI4il,8.31E-04
y22526,8.31E-04
52iI58,8.31E-04
0q587d,8.77E-04
u58oG2,8.96E-04
0DD21p,8.96E-04
qFg0m2,8.96E-04
i81l0H,8.96E-04
131041,9.12E-04
3ksQ8q,9.17E-04
Fwa783,9.17E-04
2460YP,9.76E-04
V2bT2v,9.93E-04
33nqk2,9.98E-04
1b1eJM,0.001085348
