service,PIH
757D2L,0
2vme2U,0
w87JVB,0
KEMGNO,0
6fVf16,0
13qB4a,0
m1MSw7,0
H46n3r,0
s20uQe,0
1q04J6,0
558d41,0
73mV40,0
6i4617,0
b52I0n,0
qQlLdw,0
I364H2,0
Y46J48,0
4l50Or,0
355728,0
3fA6P4,0
7mdq4l,0
43e12t,0
3QfGjV,0
s7vK23,0
1l170x,0
rUu27h,0
l35o11,0
OfULlI,0
351Yh3,0
a0fu0w,0
pgqXd3,0
RrGWK7,0
Ud0262,0
276vk2,0
l1io5W,0
1G6nwc,0
73Q6WW,0
iU10Q3,0
dt2E51,0
JiqAm1,0
3X780x,0
70N7cF,0
BX7g4T,0
00fxOp,0.012424242
yS7b4S,0.024475524
Gc33f1,0.026911977
a0bImG,0.032316017
2TM23U,0.052450601
h2mS2J,0.054671717
44A2El,0.055555556
400D6j,0.05893467
21601f,0.059805072
G4Ts32,0.066666667
4c858C,0.06984127
Ya6PyS,0.071367931
Tnp70n,0.071428571
3hBS8R,0.076029706
Pb7KH8,0.079365079
4ftyv6,0.079554966
7A7x3J,0.080954416
31C43g,0.083333333
61wvTv,0.087301587
t1375B,0.088377564
THP1c5,0.088484848
e215y1,0.089673091
RQ3v07,0.090445623
17wr5O,0.090584621
2Q7k13,0.093642167
4hA174,0.094387755
BW4l6s,0.097696086
6d83w0,0.1
182m1y,0.1
bR1OW5,0.1
6lo356,0.1
S35714,0.1
25nxuR,0.100930441
648652,0.101851852
R6Y02O,0.106373208
Q1suk3,0.109722222
5Qxt11,0.111111111
7Wd2q5,0.114705882
q1xj55,0.117307692
378CU0,0.125
tkdXyK,0.127654753
VDlu0I,0.128947368
35pD5i,0.132608133
xiB003,0.133333333
C41C1N,0.133333333
m4nS8Q,0.133333333
6Qe6x2,0.133855472
p105h8,0.135416667
8dNpK5,0.136214516
0F5E5c,0.141025641
3uou87,0.142857143
0465Hr,0.142857143
aE3J6o,0.146666667
2W18u5,0.146745098
Xq8V87,0.14994496
0u60XB,0.157894737
1218V6,0.159893268
h44147,0.161850495
5jgcVF,0.166666667
T5878D,0.166666667
O6277K,0.166666667
452cGX,0.166666667
2d63BK,0.166666667
17v3HM,0.166666667
2e6Y2A,0.166666667
7ud734,0.166666667
D6IQ87,0.166666667
U3ad5D,0.167548501
xBdT53,0.181211598
y51dF5,0.189278499
e8P6H7,0.19047619
330x18,0.194444444
BnSu78,0.194444444
30u6ds,0.197802198
1344KH,0.198529412
C4igGk,0.2
130c82,0.2
jfP1xX,0.2
d8QT8j,0.2
66360v,0.2
