service pair,PIP
1y6OKJ,0
Hqa27O,0
4H748j,0
H7m75k,0
8sl251,0
As64gY,0
5811iB,0
6nD055,0
728GB5,0
BY2R66,0
7Dp584,0
50F12C,0
c03yh0,0
viiBG1,0
8B0W14,0
3BC7D1,0
Tg20n5,0
PcK211,0
U4apI6,0
a36P24,0
6146Or,0
2mNcBb,0
F4e027,0
F17642,0
A23630,0
Ye4Miv,0
f006w7,0
IBk02n,0
ih02lN,0
soh0wh,0
0065iX,0
3nj6WO,0
A36Lwm,0
L7xu75,0
Mt6M71,0
2s5G1I,0
463u47,0
5Ri0b6,0
Ln76k3,0
sij5d7,0
1lr630,0
P06Wo7,0
8v0uA0,0
40w8KV,0
0LEV35,0
uwi51x,0
10654O,0
Ot84Cr,0
042c30,0
K8Cjrn,0
31ci5n,0
H530db,0
F7b52t,0
27Jxlu,0
51bL7g,0
iqT2my,0
JNFa7j,0
440JiE,0
543m47,0
dKT2uD,0
p65B35,0
b7371C,0
7TfCa3,0
743GuR,0
7r7735,0
uinq2s,0
875sBk,0
6L6y62,0
8oAUEx,0
d8h41h,0
2mrhK2,0
4x14i2,0
268I7p,0
0km6aB,0
W04iGI,0
nR4Ed4,0
r27kQ2,0
2w6wJD,0
t7IE6a,0
3H745P,0
3Ui8y5,0
Pm0tGc,0
6LR1BB,0
sE4Skm,0
3O4sw1,0
MUExo0,0
374066,0
T08541,0
FnR541,0
55IeWQ,0
fID85d,0
512H51,0
75bn5J,0
2xJv2s,0
cX0ex7,0
SaFae2,0
Cfo06C,0
7062tL,0
q73S80,0
T20L8d,0
xN6dBE,0
C71M86,0
T81d2o,0
C2ccVW,0
367HQJ,0
T877T0,0
0J480c,0
m4T0J8,0
xLa878,0
m06B1C,0
5128j6,0
Myk813,0
NF68y8,0
01r4XJ,0
4Qu0h8,0
S4r677,0
3oXH3k,0
0m5F0t,0
62et08,0
qF36c8,0
t2D5F2,0
e7p7JI,0
v471m6,0
243fbP,0
7T7NC7,0
dqoV5Y,0
1a6L18,0
hJfCUM,0
P2k0R3,0
RhFw65,0
eQnt38,0
jk4aJ6,0
e3yj3A,0
227x88,0
81g036,0
Mn0G4B,0
JO4447,0
gs3Mbf,0
28S85X,0
QK3d7Y,0
SEJYY4,0
34vQJh,0
23H162,0
3EHCRd,0
5Q65so,0
3ySvtg,0
b66tLy,0
U3tHqW,0
yD2sMg,0
5453PC,0
id7YE5,0
18nmuX,0
8x73Iw,0
3v6hoh,0
22G317,0
y2E27y,0
1J04P4,0
516sy5,0
7057NR,0
27c3p5,0
n2e1a8,0
Sot1kr,0
30R42j,0
J5888J,0
esAq65,0
K2V267,0
0H5Aes,0
3t0E67,0
0A4Y55,0
1f3516,0
1880B2,0
hfA5Rb,0
0vd665,0
5liI77,0
4kR48w,0
1i22O7,0
8e71Jd,0
31g3B3,0
54o408,0
baa222,0
s555ih,0
IODsRn,0
qa7588,0
eodR8p,0
11qgH8,0
812l86,0
bI5m8B,0
e2W335,0
108S2O,0
G325ni,0
u87714,0
00F8ye,0
116Q58,0
306787,0
RK7206,0
kFWhL6,0
oE120b,0
4VRe1p,0
xPh4iU,0
p04SEF,0
4306mN,0
48035r,0
H03386,0
d20FxK,0
4g131L,0
48n56C,0
3Hd65r,0
03208p,0
31ia1U,0
52SX15,0
8Xt274,0
34rF2h,0
3Oyw8g,0
Qri4gX,0
JaKK0J,0
YL86Q1,0
6nQ65L,0
42gEEn,0
554C7S,0
3420vT,0
E60UI7,0
21n457,0
XJoS24,0
Lpr8L2,0
Dl8OF8,0
4QIj7t,0
m28C58,0
7Kc36b,0
Itn0nG,0
67T8If,0
5yXQ05,0
HOG2t3,0
406uo5,0
377ws3,0
164Y0p,0
8lRsH6,0
5nM1yK,0
3g3Fs6,0
55k5t0,0
e3o2rU,0
7D1C65,0
45S1EX,0
581883,0
VsK724,0
OI7F60,0
OL5223,0
Ip5O40,0
61K7f8,0
8cJ3Gu,0
x68c33,0
15n241,0
80e4P8,0
l1g5j8,0
QTa260,0
5n6D68,0
r5Eca1,0
CJhd8X,0
73MX11,0
fMe5xv,0
X17T01,0
G67C48,0
2y4C0O,0
236pFX,0
FI7nGu,0
5i5J23,0
38Ba7N,0
18h0P8,0
3135Nj,0
W2m882,0
X81272,0
La8p6x,0
Px7203,0
074yHV,0
PVb82m,0
D4801M,0
2BU70I,0
i5BhxW,0
4S043E,0
03lK8d,0
8Pw86f,0
UAc2rT,0
oX1G8r,0
Wp132x,0
6IEgOG,0
87Ki43,0
1tOc5c,0
35e418,0
4sxb75,0
2vdf56,0
l0Tl46,0
0628S3,0
8hF6L3,0
20184a,0
12BuI3,0
8X716Y,0
5f61nM,0
v1I3c5,0
IGd10N,0
pi4s6j,0
u10f2l,0
5HK86r,0
hj654r,0
3453Kl,0
se6X5J,0
50v178,0
2r714m,0
Cm6GD0,0
06phQ4,0
64Sf28,0
WK37R3,0
k84jXx,0
pFLrT6,0
jjwGKi,0
7vGN8k,0
R7f12d,0
10A8ij,0
R0o68b,0
jMr441,0
c571jL,0
3NH50p,0
3iEBpo,0
4361cr,0
4WBWQ0,0
rNRQ4n,0
AMABV6,0
6218Yj,0
872G1P,0
13xSUK,0
14a108,0
5CrTCB,0
e0sH4M,0
f45716,0
22QIKi,0
18611s,0
vxvwOS,0
4V4332,0
NnYaY5,0
328ba4,0
Ea0eG8,0
F2dF80,0
2JwJ72,0
jI7ByL,0
8Gx43X,0
2iS2iM,0
00Lruk,0
325L05,0
1J02p5,0
555A05,0
2BPEBG,0
32cwTk,0
k6o6Xp,0
Sj7Uv1,0
3BXrbY,0
y6h88s,0
iB678o,0
e3S486,0
71422q,0
7415V1,0
h262qm,0
5IV870,0
e6S340,0
3O35p1,0
T30032,0
rkgx2b,0
j4s3m8,0
76Es33,0
37W527,0
0PN412,0
uU0052,0
0bBu5S,0
8Q400a,0
0aYPf5,0
r1s1C6,0
84kYg4,0
ICHI02,0
2mGtMq,0
7M0K62,0
V71l4B,0
42T47u,0
248K46,0
W4gd81,0
0oL8wF,0
57r43O,0
P76Xls,0
F74lk8,0
Mu5uex,0
4pt7b3,0
6jpE62,0
244RK1,0
S8GSN4,0
B017M2,0
3LQ2OL,0
64T0w1,0
IU87qj,0
we5J57,0
s8H88G,0
Gg6K6f,0
o82eUh,0
1477R0,0
12ST0H,0
T34W28,0
4D0K8c,0
41Y20r,0
8aB0cj,0
M0ux56,0
6nmqde,0
435X8X,0
oQ4H8g,0
Op8J7u,0
515SW2,0
2Go5P8,0
53wB6w,0
44pcy4,0
DpD423,0
C7t747,0
l6g6rl,0
0l2826,0
02eKl1,0
BR8O45,0
x78f5e,0
JB6n87,0
t0n741,0
p4447T,0
60306G,0
123m83,0
6J4Jo6,0
OPD037,0
vc14mP,0
023Q2J,0
H6818R,0
8c8YYJ,0
055614,0
dEn2p4,0
1I8K18,0
054B2T,0
4K0d68,0
565276,0
38Vh8R,0
0Ey71F,0
F14X85,0
W528t3,0
32l71t,0
S8a475,0
kEH43m,0
qs7HP8,0
UA3LDE,0
rsX8aa,0
220B2b,0
Ff8BYQ,0
85U0x1,0
86kI64,0
a6f10X,0
cE4vJ6,0
L13A7G,0
2g8L70,0
V6d012,0
b105bP,0
v2P8V8,0
86386l,0
Q44le1,0
6aIX8T,0
404WD6,0
B5J8K1,0
Ysi7KY,0
72PN8O,0
oI0N3P,0
8I7X40,0
3Lj30r,0
04p5SH,0
55S2gN,0
77xk03,0
Ko740A,0
25EG37,0
smfY54,0
0K5223,0
fDC1X3,0
57eN6T,0
sO54WR,0
6ed64e,0
P18PxF,0
H18V27,0
7w7jR2,0
S8I105,0
627A5I,0
7X8RAn,0
405580,0
X6k81n,0
jDSq3e,0
1W4Q3K,0
h8268q,0
lk4ue0,0
f6753T,0
13882Q,0
wvxU1v,0
G723tN,0
86e73Y,0
EYBdC3,0
c03471,0
3a62JJ,0
641E3L,0
42U252,0
x0hxE5,0
8ITM88,0
SH11u3,0
Qo71Qn,0
11V55N,0
12aMYy,0
3K3P3W,0
A4Vq22,0
roVsUd,0
4EQ3Tu,0
6IvO16,0
0MeYcy,0
jsygIa,0
Py06j7,0
b13A3w,0
DJ7u11,0
7y510j,0
ii3Fpt,0
810ggs,0
r7261I,0
3u6s2Q,0
Wv6L1U,0
aC2k06,0
erD071,0
Dr48q1,0
C6h3f7,0
53814e,0
2Q8c1T,0
jS0Ivm,0
755oud,0
31oIil,0
E4SR17,0
8s6tr7,0
A32d7e,0
4nn887,0
QRU148,0
23vX2g,0
74I0oB,0
O100T8,0
K0qD67,0
3Vt48O,0
V8o81b,0
yl4t3d,0
Vk2GY2,0
Vr53i0,0
g2k52T,0
4514N4,0
vR5I4F,0
Am3nM5,0
677ABc,0
71q56h,0
22bUjH,0
4G28I8,0
18Kdt5,0
v0HX54,0
55G383,0
0t0vI5,0
h2N6B0,0
2ry822,0
578Ba0,0
1K4071,0
U237V5,0
V61H1n,0
6P0Vy2,0
nqVQ15,0
A3Y330,0
041116,0
02h012,0
185ioQ,0
8J8706,0
IVDW6g,0
G67x0l,0
87w61N,0
d7bq3J,0
n1452g,0
m2o207,0
u68nh0,0
7YX05O,0
WaF1mm,0
71vr5B,0
0546d5,0
5NQ763,0
j5JdW2,0
a4s0YS,0
fA68fO,0
BsBIUK,0
1G4J17,0
8h8WpB,0
R7U20V,0
rtpAYR,0
000h6M,0
iFjSHJ,0
VF6M8U,0
X28s7w,0
m7385u,0
VQ8432,0
N58ay7,0
I3a6o6,0
Wi5g1B,0
aFcWvh,0
0c4JDK,0
4vy8py,0
VEy051,0
56HY13,0
7Sj27N,0
m4c673,0
6GY0El,0
DThJ6f,0
385575,0
Tkf4gS,0
C7h612,0
SY4rbt,0
2N1Ie4,0
N7fbas,0
6V4LSa,0
4545H8,0
uNsc18,0
5nFa1F,0
8b0Jw5,0
8m626g,0
43lDrd,0
38677V,0
L044R5,0
7m0584,0
oC0lxo,0
35yA87,0
Fj0QD6,0
yBV78v,0
S58ik0,0
ojGH00,0
x57W17,0
2pdys5,0
p33n7n,0
e10706,0
1c0873,0
0uo21d,0
F7J324,0
50b2Ld,0
l0PGDE,0
gyyh05,0
L6NubS,0
0T0044,0
4O3713,0
E06TIi,0
UnVJvQ,0
r0eL4x,0
u8khI6,0
f8hq28,0
7s5l33,0
MI8s7t,0
TR1nNb,0
F50D35,0
32eiK3,0
5Xu32f,0
2QV6ls,0
m3Cc2g,0
7eBSSG,0
8vWGFS,0
DXs54N,0
fk4Bs3,0
62K1dC,0
7I738u,0
W3HTUo,0
4t81y3,0
gn8OgG,0
8F6hcx,0
n53vRr,0
7fiX34,0
YHR7i3,0
18w58Y,0
y6J5u0,0
0e8h12,0
OMw6Yi,0
a154N3,0
3Sq16s,0
1gj86T,0
xP2664,0
5pOI63,0
f52R43,0
7e716u,0
4e13IX,0
n50483,0
3m3376,0
52hH66,0
Ry05D0,0
73VUY6,0
cY5240,0
6Voy7w,0
q25NP4,0
63f3Kl,0
223602,0
48hK48,0
KF05Jq,0
Ea70p8,0
661Pn5,0
0R7652,0
05kSI5,0
l412T3,0
2XIO5O,0
Jh6A2k,0
503yR5,0
5684R4,0
5r251E,0
W3BP64,0
m1vj73,0
a1U7TN,0
A685be,0
FY18l8,0
ouJ5Ap,0
VRRyM4,0
Xs480u,0
PN125T,0
Am4Ia7,0
U582qM,0
Xe2721,0
4Y038u,0
v4RN1M,0
00eb7o,0
pd33T0,0
3WsCf6,0
Lcq68c,0
Kp265t,0
U247ea,0
U7H7NM,0
aLH25g,0
1u6aH3,0
35pObi,0
4S0Rn8,0
