service,SIH
PP3jf6,0
fi6u8p,0
0O42Ll,0
hf7xLx,0
lj6635,0
vCe8o3,0
44nu83,0
81fCYw,0
6145bc,0
1R16Vc,0
yV0l14,0
E45A51,0
gLJn7j,0
1A12D0,0
DE55H7,0
84ka3D,0
Q535Mn,0
J8y803,0
Y8vo4y,0
QkJ5Oq,0
6n1Bt7,0
8Oc74Q,0
rTmFRa,0
86X5C6,0
3bts48,0
0hH61C,0.06345911
51QLqT,0.06783902
n18255,0.073115773
67881X,0.080458109
7uNl8M,0.081301078
0b6Yc6,0.085200747
OG2071,0.091542176
x5717t,0.093108974
6T7S51,0.102938563
C4I8Br,0.106349206
5N51m1,0.107092945
l2i42t,0.108053419
74O2B1,0.109059251
08d7u3,0.110240666
1kb8d4,0.118137652
I74X4h,0.122419247
s3G17K,0.127834467
gg7Kw0,0.128165485
B11Coi,0.131859143
e30126,0.143695036
E2R870,0.154783309
uyg304,0.155555556
NHjeF8,0.160532953
AK4KJ0,0.166666667
050E16,0.166666667
850578,0.17224995
im70M5,0.176246354
a5uKeA,0.180641747
gVUEU1,0.2
TLhT77,0.2
P413Pu,0.208209525
3yA8eJ,0.208333333
eWbR51,0.20952381
uXu21i,0.212121212
V8XS2I,0.213612616
2x6bdw,0.216341648
60E7p0,0.216666667
pJI46m,0.218518519
2n0w4M,0.228587963
6ol5wM,0.232502767
Wyqw51,0.234125109
aJvlBT,0.239444182
D0h0Jr,0.240428553
qjR14s,0.240548341
82e564,0.244530212
F7l817,0.247113097
W3B5up,0.249799559
3s381C,0.255015432
7W650P,0.256369998
OT43fb,0.266666667
K87ws2,0.266666667
o0aeql,0.267650059
NWc02R,0.268073675
88766k,0.270833333
B6DT48,0.275883735
2G2A85,0.277025853
xa7BH3,0.277301326
PaK3u1,0.27974841
3ycJ77,0.28006061
5c68g8,0.281814953
12bv02,0.282922308
f1m403,0.282992387
42MR71,0.288075881
lXT4M4,0.289410334
xS88Lh,0.291310119
dogm48,0.296426714
Ng6h5t,0.298142365
QqG4d4,0.3
c3I1OX,0.300963719
V254MP,0.307794872
VcllOM,0.309171945
5y8EiM,0.310989729
0LbsOR,0.313519504
47610k,0.321037415
s2488V,0.321393369
07T24r,0.322354481
SS10W8,0.326095612
115oJQ,0.32962963
0b4Igk,0.332298871
w3632E,0.333333333
P3446u,0.333333333
3A565P,0.333333333
X4M02G,0.333333333
88W07P,0.333333333
8ob5K8,0.333333333
7wq0R6,0.333333333
ng0X4M,0.333333333
7F3nGy,0.333333333
cOsQ13,0.333333333
52Q0HS,0.333333333
bTrcP5,0.333333333
284272,0.333333333
21Us0c,0.333333333
116x0H,0.333333333
ue5l11,0.333333333
i6c8MN,0.333333333
3y163v,0.333333333
6r5107,0.3414244
C040i7,0.343936027
k1K051,0.344434263
8XXrqb,0.348769266
FB177q,0.35
w233MU,0.35246649
62o4nX,0.354978355
oRX16e,0.357142857
5r44BI,0.366666667
03xVw1,0.37037037
a52G4X,0.370402909
Y4dIlF,0.371527778
65st0n,0.371540999
2Wb13W,0.378801369
b3Uq30,0.387815126
2n0p0R,0.4
4y000H,0.4
Gl5867,0.4
U077e1,0.4
TOo4C5,0.4
528s04,0.400362319
63D6eX,0.401064214
p11W3y,0.401388889
57N1bW,0.403381643
nq0K65,0.404661662
25ci00,0.411111111
W456f1,0.415505887
286SNW,0.422067901
70443V,0.423245614
iioC03,0.433286497
1Fg68X,0.433333333
0U8aH5,0.44
ajT13e,0.446530355
8eT68P,0.463388579
o8Ig8g,0.466666667
8638BQ,0.472706553
0Svnh2,0.474305556
7s47jP,0.474337607
x17mRO,0.484884948
K742mL,0.487006763
34t20c,0.5
U65240,0.5
2841U8,0.5
881Km1,0.5
4pj564,0.5
370ecD,0.5
87a018,0.512315271
3JX7Y8,0.513888889
a64y7V,0.524193548
J4RNl6,0.532781955
FO1545,0.535714286
18I5m4,0.539942529
2184X2,0.553571429
4SGQ7K,0.577136678
17jw7D,0.583333333
okMOma,0.583333333
Qsob48,0.584553399
4iK50R,0.589881897
0XBd2g,0.590009609
0wsQJ0,0.6
5Bu1Fo,0.6
OnGl1F,0.6
U5d8k7,0.6
F4h135,0.6
14T42x,0.6
73gCiP,0.615384615
nv44KS,0.622222222
061Oak,0.666666667
L4Vi3I,0.666666667
72Uei2,0.666666667
Okau62,0.672727273
sGm4E1,0.688311688
376Y0Y,0.7
4061a8,0.70528175
i304vF,0.721204721
YcHk07,0.721290682
7si64X,0.725274725
2Hcq81,0.737765831
Y3N821,0.745417295
0Ho8Go,0.75
bN186n,0.75
W8367h,0.77
t084SQ,0.777777778
KmPMw1,0.778388306
7N3hMo,0.8
Xm721v,0.811066127
6UcT7k,0.814117647
80J65V,0.833333333
AH2K1p,0.846153846
R5BcA7,0.857142857
64xy0W,0.857142857
2qPN48,0.857926829
4470O4,0.888888889
LTrvwV,0.894736842
7m0hBD,0.9
r35Oi4,0.909090909
a72M31,0.957446809
V45WsB,1
UMI746,1
rK0M2y,1
byfN15,1
w5136j,1
PJ861j,1
e27uEW,1
x5v413,1
4d8Kc2,1
ab5E41,1
2P4nWa,1
I34w07,1
6yjj3K,1
362H2I,1
Nk2u6c,1
8lNqXD,1
66cj22,1
206378,1
4qf3p6,1
NbJwgb,1
68krp1,1
228o6V,1
d041e6,1
224468,1
Is8ALP,1
B5S550,1
Gpc7S5,1
5e372e,1
0A35w6,1
4D6J4y,1
W3AJ8y,1
r41m0E,1
uS45d2,1
b1J2K7,1
26D54n,1
j8g118,1
8503q1,1
FPG30J,1
XY7MMc,1
u30kH2,1
8B64op,1
31G6db,1
TaM7fx,1
Ku6ngA,1
732cp8,1
xf04W3,1
FQ8121,1
0LPo2s,1
37wHUh,1
k7Hu68,1
anv43s,1
f23BYm,1
B738PC,1
2AF046,1
a041gq,1
FIs0XN,1
o8162u,1
y7FjE6,1
1JeF72,1
Jb0033,1
2ljX57,1
JD74Uc,1
Wl3lw7,1
cimbSm,1
ctjhk1,1
73pY81,1
2vx36B,1
3Fw84W,1
x034g0,1
VD24JV,1
0w82S5,1
mB1Ib1,1
p4PGq2,1
UIJ8V1,1
t08d38,1
8S3OGW,1
8nrJx3,1
56U7ad,1
77OhG1,1
T77s11,1
oXdp0a,1
b22R40,1
M8270a,1
jWf1UJ,1
l2e2Do,1
kl85DB,1
AwgJwq,1
mt55ot,1
bN5iIQ,1
1iVs38,1
8rig3h,1
365Lsx,1
76u450,1
T1wX7w,1
2X5Q7b,1
o2Fc8n,1
D57hd5,1
0y24d6,1
xSHJn8,1
417B33,1
H7IEX0,1
x05a75,1
204QAp,1
3BFfB4,1
561j7P,1
4Wb3MQ,1
n6q46G,1
sQm0lF,1
N8P4YM,1
6h04J1,1
13260R,1
yiqQo3,1
31g48I,1
4453hd,1
aby87t,1
hX4iA2,1
U66ex8,1
335J41,1
86s272,1
n17L52,1
245131,1
k32X4K,1
VNnG4r,1
S1uc57,1
hj137P,1
d3T716,1
8Dtk2H,1
5Qd7Qg,1
aS4i54,1
481781,1
2R7c86,1
E7662L,1
CP51jM,1
2aFt7X,1
KXMB38,1
07f8Lh,1
rM8JuM,1
87J655,1
2x06A8,1
Iq1mM8,1
7f5Q24,1
766341,1
PYA471,1
0fvmSJ,1
fMHDcd,1
axApf3,1
38c1s4,1
7xw738,1
K2n1D8,1
k5Wbm5,1
7dt76D,1
47on87,1
h8r66g,1
x5O8TF,1
s62TD6,1
7o475f,1
46b443,1
747u6h,1
B1iM43,1
L230P5,1
6HRQ1c,1
WK4AQe,1
t7x1cX,1
603q7U,
1i506l,1
6m6A1a,1
44SA22,1
y7464N,1
182A2R,1
3E1LW6,1
64j254,1
BaT46I,1
6N4v02,1
0l47ic,1
CM3o7L,1
26Q547,1
cl584b,1
4nh600,1
5tH4o4,1
7dP35B,1
O5g83v,1
74I1x0,1
SDbs16,1
82CRTW,1
MP6l41,1
na5KvB,1
8K38IW,1
3g2rOq,1
65n321,1
O17rMp,1
Yib1wC,1
Fx5I35,1
d6g71s,1
012c2H,1
nN7S5f,1
46QSCw,1
1j3e3l,1
3V6SMf,1
f3w34p,1
jW0375,1
24C800,1
107ryM,1
pwt0wC,1
80D665,1
8w728u,1
aX0542,1
13P2Y6,1
6nq564,1
V038nR,1
Y67c2Y,1
Db7k82,1
6V275X,1
aJ63e2,1
xNSwmf,1
1R7le8,1
OCB037,1
661625,1
7K163T,1
516ocb,1
27D2cG,1
834I04,1
68251F,1
sw0B7X,1
0vD4J6,1
4GQqR1,1
16prHE,1
IaNl6r,1
2V31gc,1
o1oC60,1
y7y786,1
7Jj36c,1
30B43K,1
H0V3KO,
t5Axh8,1
j686Dj,1
84bF5W,1
T7hR87,1
Oj3170,1
YEMj77,1
O23333,1
13W504,1
1723q7,1
542285,1
fl5B7y,1
Ef5VJp,1
4628xf,1
24M0VT,1
T1j5kn,1
32SkyO,1
x6XT4s,1
K37b82,1
k1t5T6,1
1X18CU,1
h0EjB4,1
5120PY,1
qJvy2l,1
4d0HN8,1
GRdF4p,1
rL7V73,1
r52lx0,1
2yyJ4u,1
8Qjlo4,1
77X634,1
63N63t,1
1a6qw1,1
73JloO,1
12004H,1
1531d7,1
8hwWy2,1
02PM81,1
6W632Y,1
0pqR76,1
K47Dv3,1
4320HY,1
40bj7T,1
5281X3,1
EmW4N1,1
wX7I21,1
1AXJ0A,1
oxxtU7,1
8v42lq,1
AdoJB5,1
8RRQ4T,1
5m082i,
25i8ou,1
12G2W0,1
Wi6Nr6,1
TAw32a,1
314JHt,1
V8h681,1
Yc04T6,1
d8s58G,1
Nc14Nb,1
f2U7Rd,1
78656h,1
iA30n2,1
QVXSw7,1
3318e2,1
n6K47Q,1
8105j3,1
0emJQd,1
e206b2,1
586r74,1
ji7N01,1
q336Vs,1
u33Jdq,1
0785kg,1
00774u,1
u6qc7W,1
5n3ePj,1
38Njwd,1
B25fIs,1
230cH5,1
t7yiL2,1
v4562I,1
W0QlX0,1
3016su,1
3f6r31,1
135xOl,1
6bT5XN,1
74WC3p,1
qW8i16,1
g18r36,1
5861F0,1
72a3G0,1
061Cu5,1
35N1M4,1
a20c53,1
L0u613,1
kL6F7s,1
36mo2w,1
k7VV3V,1
4FAjOq,1
V7x737,1
045316,1
57iU0U,1
f8P88a,1
1n2q1f,1
746630,1
62545l,1
4P5Cfc,1
TNBd5X,1
5TLX8j,1
25RBm5,1
678j28,1
388Jmv,1
5012BB,1
U7A08T,1
72028F,1
uDG43F,1
5Dk73S,1
1kx061,1
wV25h5,1
S26436,1
b3571b,1
5COLG8,1
3WM37R,1
8U5QJA,1
5fU4G4,1
PkjVte,1
b253E4,1
15AH6C,1
y214XW,1
2D5u52,1
26em5D,1
83urM1,1
2CLLB2,1
