service pair,SIP
i18r27,0
Se0OL7,0
xRCA82,0
x3V7qT,0
bc283p,0
Qx46y1,0
5586KV,0
0Lu1wv,0
Qe6BvK,0
1C0M5C,0
NhAP48,0
5gg2Ao,0
416uf8,0
gNA0Yo,0
c63Q1f,0
F88m6f,0
040iO0,0
0fe4Ld,0
S67104,0
3A83Da,0
5g2h48,0
bIevcD,0
5733N0,0
27y3KJ,0
1u56r2,0
0gb4H8,0
37R17w,0
763UTR,0
364lU1,0
2R80hf,0
427qWg,0
64lB4l,0
24k52j,0
2S81w3,0
aGUw8x,0
UIm80M,0
83T3c2,0
pfOp37,0
3506v8,0
B4W5ML,0
52e4eH,0
684a1y,0
2Oh7f1,0
NWbjNk,0
26A4ec,0
vw7818,0
834558,0
0jdt8J,0
bUJp7Y,0
7gFl18,0
0215h0,0
Lb7578,0
18OS24,0
C3Q6vu,0
lK3b7J,0
ac058G,0
1708BW,0
00M5A8,0
q05363,0
p8Q844,0
rkP0Vf,0
20K5eB,0
F1Wa6v,0
038682,0
180627,0
Q60j00,0
gB2188,0
UE3w2c,0
m3h0GB,0
2626L6,0
3711SO,0
8Bl612,0
RS0F21,0
173764,0
w7cB46,0
Wy000V,0
SigRaq,0
7728O0,0
TN67BL,0
68j67Q,0
2i023B,0
d0A332,0
J2a8Xi,0
512088,0
22728M,0
rw31Um,0
m6I808,0
U06G68,0
5UnKui,0
124Meh,0
S3GU75,0
54C0TD,0
H5T5u5,0
F80A8n,0
1372I6,0
sO17x0,0
oT0qOG,0
06OU5k,0
1a36i6,0
06Ov03,0
h1ooDI,0
Jo8040,0
Kq76IS,0
SJM0U7,0
Ram15F,
3Ox652,0
vb0682,0
KAY5Sa,0
050207,0
452Pm0,0
11PF8T,0
8k6182,0
1D8x8v,0
u23mE7,0
RX60EH,0
C3M68q,0
7AkMBv,0
G864h8,0
2DI0E7,0
G156LX,0
483475,0
S6qcO5,0
YUDhU5,0
4q072f,0
F1BQp5,0
w5xu5b,0
Wu6LQy,0
u1Vb28,0
T85pu8,0
2Mb38e,0
883E43,0
J506B3,0
u3re84,0
7LMWW0,0
687732,0
r8j7ra,0
3cR881,0
07bsO6,0
7Oe601,0
wHu568,0
811G84,0
yk4270,0
E2G166,0
v2jlee,0
550G1s,0
Mo0emg,0
77460f,0
sN4P33,0
u776I0,0
E5K012,0
1lK8j8,0
7x607I,0
S815gX,0
8I4L3H,0
EEN781,0
v6rr8U,0
3ugE0i,0
6I6y06,0
F8a470,0
n7I00U,0
0hQ802,0
Sq40b1,0
745l75,0
Be88G8,0
YT1k5g,0
5447RI,0
A32k1n,0
56NS70,0
vtc38J,0
Gk16kv,0
K81344,0
Dp1322,0
5836E4,0
RqL2e0,0
bkS18n,0
w4iW70,0
R0V76B,0
K86Q7W,0
1AMR81,0
16l3iT,0
34S8Ty,0
2D81B3,0
T2UG1o,0
4X6m65,0
01U242,0
V66Sf0,0
t1wvIL,0
n5v50h,0
1857yu,0
w86c2E,0
868t05,0
5yr3G8,0
2C2kTo,0
qsv80B,0
7466I4,0
83fD53,0
7r64S2,0
2dfOO7,0
1343uf,0
O77L2C,0
H3W238,0
0x17UJ,0
580457,0
65kkAe,0
iU1320,0
15881w,0
eeL0aD,0
q21yC7,0
C7iS1I,0
2n674B,0
LFO8D2,0
djLE8k,0
6iv4lL,0
r0To45,0
TkHS6w,0
T0CDvt,0
0u3l82,0
016G3O,0
03d8dK,0
AI204w,0
15jnA4,
pAS512,0
I2X5Q3,0
6L5jgl,0
Jx0116,0
8Wy71Y,0
8K7F22,0
r217iB,0
4Ni5UW,0
31OOe3,0
X7DA7I,0
K2Y4tQ,0
7Nwq41,0
V5WV4y,0
te8078,0
1s480s,0
fn6cT4,0
1M87T8,0
452wcr,0
C6VaI8,0
A6P247,0
7O1405,0
ty068o,0
3247V3,0
882388,0
65BA6u,0
0k01Hi,0
2J7F36,0
7Co2k4,0
YV8253,0
g16877,0
eY0Ago,0
p78k83,0
Y0hU2F,0
