service pair,TCP
65URGt,0
13BD2o,0
5v3667,0
O3R0N6,0
2RgYfS,0
elftBr,0
cv62o2,0
8EjH20,0
ERk18E,0
rI55K2,0
552K8I,0
82FK1i,0
6wW133,0
13W410,0
Ni0rUP,0
3j4N4E,0
348563,0
528m25,0
a35S3d,0
GLHj06,0
8NO4Ps,0
QT3868,0
3xE3U1,0
5LRP8H,0
0MSVQ0,0
f3GM12,0
6S5ueg,0
Hmm337,0
PUkWFq,0
6X55wx,0
0B74cu,0
S4e8I0,0
FI2087,0
ep3502,0
80D28e,0
0ia12S,0
2431U8,0
04312Y,0
83C6jw,0
d043TE,0
D4x1h6,0
1c76c0,0
003Ad1,0
u48G0p,0
46qcF6,0
5l7783,0
E5F65u,0
dDcpBd,0
067300,0
70Wxh8,0
vc734N,0
63Jw7N,0
004572,0
28bdF0,0
q6FBi5,0
QVJ1s4,0
066VbY,0
42a167,0
2401Cl,0
4T5D42,0
I710io,0
N8SUNU,0
051258,0
58S8hO,0
71WSQs,0
WaN888,0
X0YP8g,0
odgbeK,0
3XlywN,0
6nOI15,0
R18aO6,0
k1w856,0
6316I6,0
657YY4,0
01v8aG,0
6Q6J8q,0
20h1U2,0
Cnm10R,0
j2755p,0
IP7727,0
4Nf3Q7,0
V262K6,0
Ha758g,0
v1j774,0
wPIxyv,0
1X1828,0
b56oDB,0
LAo3A2,0
MX020d,0
3Sb846,0
G106r7,0
k400cS,0
3606sG,0
oJgY3u,0
51hb41,0
h186aG,0
76poTW,0
6GSF0J,0
S1Y1ae,0
4JCH01,0
j4U25P,0
t6ru68,0
E1J6Ft,0
4e05H3,0
Vig0dm,0
061O8M,0
cN8hX5,0
2Pm14p,0
WQW161,0
xLoFr2,0
M7l561,0
DY6Sh2,0
Y4dIJm,0
Ab03Ho,0
17QB62,0
EO1we4,0
v0n18W,0
CSKSOE,0
8egY16,0
Ys372b,0
wT825i,0
5123F0,0
A8508q,0
28w420,0
7GM3s4,0
7S56HK,0
If608h,0
u3iB56,0
H1K1D1,0
jm4T5L,0
707Wl8,0
r6xraI,0
88466L,0
31dg3N,0
Gh8372,0
7m1mgg,0
V678G1,0
m03743,0
T4483M,0
3f0qRy,0
2QuB4d,0
26HDB7,0
400pcs,0
68J215,0
8PB17j,0
WpeBKf,0
58wgB0,0
k3dpW8,0
Ti2S73,0
s68783,0
64j5TC,0
71oD6t,0
W83t71,0
y57Rek,0
1u2o5D,0
G652fA,0
atn666,0
63v4fc,0
00202M,0
pn21C6,0
2yNu21,0
8YUr8Q,0
e5507A,0
q2LV1P,0
0O00pU,0
k2J4kr,0
eVjiLk,0
P2tB6U,0
uUy64K,0
4040R2,0
15P0we,0
dX2Ut1,0
X27Fk6,0
31084y,0
0PX2n0,0
BE202o,0
t55s1F,0
q6Aj56,0
TSFo0M,0
i816A0,0
gHHO4q,0
8N1wv6,0
DYUW5r,0
NyVJs3,0
3oiW1C,0
jQ2rAJ,0
p448D0,0
66Sn6B,0
08h7n7,0
5OiGIy,0
ne344g,0
T4R500,0
D4CyC0,0
8L0g4B,0
40rs83,0
gY5ND8,0
eO15H1,0
Sb0oD2,0
y507kk,0
J487yf,0
un1xum,0
B437MU,0
js4f3r,0
IVVD6t,0
24b205,0
6vCQ02,0
50466q,0
07f4d0,0
k5OWtg,0
E0YXx2,0
lsBWm5,0
n5XXb6,0
HK6KQ4,0
IU4x3k,0
hVALeo,0
65v0e8,0
4G1q67,0
Ifj2N1,0
51qOGL,0
0821H7,0
S0iBw1,0
18Qe36,0
11UM8h,0
2Sldij,0
F2W5Sj,0
x6u7t0,0
0G28cb,0
CrLI1v,0
fPbIIC,0
4psYFF,0
3aV8N2,0
E4EK46,0
UorM8d,0
1fe75p,0
wv5JnA,0
4206s6,0
0JkK0F,0
M11I4d,0
yvf0Pu,0
3GQ61w,0
1y7667,0
cBb33L,0
V3F8XU,0
E45SYT,0
147804,0
4751pq,0
OMy284,0
1K2i41,0
x428gI,0
30q027,0
77745T,0
3C5YHK,0
K56x6A,0
F66HC6,0
3501TF,0
FUYV61,0
3E7831,0
MF3YjI,0
VQf2KC,0
f7W20t,0
8O13dt,0
3mjce3,0
36R1Ym,0
SBJ5mD,0
Rh686I,0
J12i63,0
31U2AC,0
N58O7x,0
837Hpi,0
h84oOS,0
rww53W,0
760eNl,0
J308wt,0
4M880W,0
hd3w3T,0
36bxKP,0
bK1S3d,0
C8733m,0
FN0sNs,0
v83264,0
h765M4,0
n4RVH6,0
20u352,0
r3u440,0
G7RJDX,0
gs248L,0
O0t1mI,0
574j6c,0
e6I52L,0
Qa4ftB,0
550g1Y,0
3I860t,0
Ek8GUf,0
3G43SC,0
5eN14u,0
xQ3d5X,0
t63302,0
K52CN7,0
18U76o,0
k72270,0
b6Gt53,0
XAX0lR,0
E6463k,0
3TNGxM,0
4l6Wh3,0
Is12Lr,0
1TO450,0
28qs32,0
RPhlt0,0
V4N8x8,0
4VUFsy,0
B753vt,0
d7I75F,0
40IbCy,0
