request type,RIN
ts-admin-basic-info-service.GET /api/v1/adminbasicservice/adminbasic/contacts,1
ts-travel-plan-service.POST /api/v1/travelplanservice/travelPlan/quickest,16
ts-admin-basic-info-service.GET /api/v1/adminbasicservice/adminbasic/stations,1
ts-rebook-service.POST /api/v1/rebookservice/rebook,10
ts-food-service.GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},2
ts-cancel-service.GET /api/v1/cancelservice/cancel/{orderId}/{loginId},1
ts-admin-travel-service.POST /api/v1/admintravelservice/admintravel,1
ts-admin-basic-info-service.PUT /api/v1/adminbasicservice/adminbasic/stations,1
ts-admin-route-service.GET /api/v1/adminrouteservice/adminroute,1
ts-admin-basic-info-service.PUT /api/v1/adminbasicservice/adminbasic/configs,1
ts-admin-order-service.POST /api/v1/adminorderservice/adminorder,1
ts-travel2-service.POST /api/v1/travel2service/trips/left,12
ts-admin-route-service.POST /api/v1/adminrouteservice/adminroute,1
ts-admin-order-service.DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},1
ts-admin-basic-info-service.DELETE /api/v1/adminbasicservice/adminbasic/prices,1
ts-consign-service.PUT /api/v1/consignservice/consigns,1
ts-admin-basic-info-service.GET /api/v1/adminbasicservice/adminbasic/trains,1
ts-order-other-service.POST /api/v1/orderOtherService/orderOther/refresh,1
ts-admin-user-service.PUT /api/v1/adminuserservice/users,1
ts-admin-travel-service.DELETE /api/v1/admintravelservice/admintravel/{tripId},1
ts-admin-basic-info-service.PUT /api/v1/adminbasicservice/adminbasic/trains,1
ts-auth-service.POST /api/v1/users/login,1
ts-admin-travel-service.GET /api/v1/admintravelservice/admintravel,10
ts-admin-basic-info-service.POST /api/v1/adminbasicservice/adminbasic/stations,1
ts-admin-basic-info-service.DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId},1
ts-admin-basic-info-service.PUT /api/v1/adminbasicservice/adminbasic/contacts,1
ts-admin-route-service.DELETE /api/v1/adminrouteservice/adminroute/{routeId},1
ts-admin-basic-info-service.DELETE /api/v1/adminbasicservice/adminbasic/stations,1
ts-admin-user-service.POST /api/v1/adminuserservice/users,1
ts-admin-basic-info-service.DELETE /api/v1/adminbasicservice/adminbasic/configs/{name},1
ts-contacts-service.GET /api/v1/contactservice/contacts/account/{accountId},0
ts-admin-user-service.GET /api/v1/adminuserservice/users,1
ts-consign-service.GET /api/v1/consignservice/consigns/order/{id},0
ts-execute-service.GET /api/v1/executeservice/execute/collected/{orderId},1
ts-admin-basic-info-service.POST /api/v1/adminbasicservice/adminbasic/prices,1
ts-admin-basic-info-service.GET /api/v1/adminbasicservice/adminbasic/prices,1
ts-order-service.POST /api/v1/orderservice/order/refresh,1
ts-admin-basic-info-service.POST /api/v1/adminbasicservice/adminbasic/configs,1
ts-execute-service.GET /api/v1/executeservice/execute/execute/{orderId},1
ts-inside-payment-service.POST /api/v1/inside_pay_service/inside_payment,1
ts-consign-service.GET /api/v1/consignservice/consigns/account/{id},0
ts-admin-basic-info-service.POST /api/v1/adminbasicservice/adminbasic/contacts,1
ts-admin-basic-info-service.PUT /api/v1/adminbasicservice/adminbasic/prices,1
ts-admin-basic-info-service.POST /api/v1/adminbasicservice/adminbasic/trains,1
ts-admin-travel-service.PUT /api/v1/admintravelservice/admintravel,1
ts-preserve-other-service.POST /api/v1/preserveotherservice/preserveOther,18
ts-admin-basic-info-service.DELETE /api/v1/adminbasicservice/adminbasic/trains/{id},1
ts-admin-user-service.DELETE /api/v1/adminuserservice/users/{userId},1
ts-admin-basic-info-service.GET /api/v1/adminbasicservice/adminbasic/configs,1
ts-preserve-service.POST /api/v1/preserveservice/preserve,16
ts-admin-order-service.PUT /api/v1/adminorderservice/adminorder,1
ts-admin-order-service.GET /api/v1/adminorderservice/adminorder,1
ts-travel-service.POST /api/v1/travelservice/trips/left,10
