service pair,DIP
ts-cancel-service <-> ts-order-service,0.035714286
ts-order-other-service <-> ts-station-service,0.038461538
ts-station-service <-> ts-travel-plan-service,0.038461538
ts-food-service <-> ts-station-service,0.038461538
ts-order-service <-> ts-station-service,0.038461538
ts-cancel-service <-> ts-order-other-service,0.045454545
ts-admin-order-service <-> ts-order-other-service,0.045454545
ts-ticketinfo-service <-> ts-travel-plan-service,0.052631579
ts-seat-service <-> ts-travel-plan-service,0.052631579
ts-order-service <-> ts-rebook-service,0.071428571
ts-route-plan-service <-> ts-travel2-service,0.071428571
ts-execute-service <-> ts-order-service,0.071428571
ts-inside-payment-service <-> ts-order-service,0.071428571
ts-rebook-service <-> ts-station-service,0.076923077
ts-admin-travel-service <-> ts-travel-service,0.083333333
ts-route-plan-service <-> ts-travel-service,0.083333333
ts-food-service <-> ts-travel-service,0.083333333
ts-inside-payment-service <-> ts-order-other-service,0.090909091
ts-execute-service <-> ts-order-other-service,0.090909091
ts-rebook-service <-> ts-seat-service,0.105263158
ts-admin-route-service <-> ts-route-service,0.125
ts-admin-order-service <-> ts-order-service,0.142857143
ts-admin-basic-info-service <-> ts-station-service,0.153846154
ts-inside-payment-service <-> ts-rebook-service,0.166666667
ts-cancel-service <-> ts-inside-payment-service,0.166666667
ts-admin-basic-info-service <-> ts-train-service,0.166666667
ts-rebook-service <-> ts-travel-service,0.166666667
ts-admin-basic-info-service <-> ts-price-service,0.173913043
ts-admin-basic-info-service <-> ts-config-service,0.173913043
ts-order-service <-> ts-preserve-service,0.214285714
ts-admin-user-service <-> ts-user-service,0.222222222
ts-admin-basic-info-service <-> ts-contacts-service,0.222222222
ts-preserve-service <-> ts-station-service,0.230769231
ts-admin-travel-service <-> ts-travel2-service,0.285714286
ts-preserve-other-service <-> ts-station-service,0.307692308
ts-preserve-service <-> ts-seat-service,0.315789474
ts-preserve-service <-> ts-ticketinfo-service,0.315789474
ts-preserve-service <-> ts-user-service,0.333333333
ts-assurance-service <-> ts-preserve-service,0.333333333
ts-contacts-service <-> ts-preserve-service,0.333333333
ts-order-service <-> ts-travel-service,0.357142857
ts-order-service <-> ts-seat-service,0.357142857
ts-order-other-service <-> ts-preserve-other-service,0.363636364
ts-food-service <-> ts-preserve-service,0.375
ts-consign-service <-> ts-preserve-service,0.4
ts-order-other-service <-> ts-seat-service,0.409090909
ts-order-other-service <-> ts-travel2-service,0.409090909
ts-train-service <-> ts-travel2-service,0.416666667
ts-preserve-other-service <-> ts-seat-service,0.421052632
ts-preserve-other-service <-> ts-ticketinfo-service,0.421052632
ts-notification-service <-> ts-preserve-service,0.428571429
ts-preserve-service <-> ts-security-service,0.428571429
ts-preserve-other-service <-> ts-user-service,0.444444444
ts-contacts-service <-> ts-preserve-other-service,0.444444444
ts-route-service <-> ts-travel2-service,0.458333333
ts-train-service <-> ts-travel-service,0.458333333
ts-order-service <-> ts-security-service,0.5
ts-food-service <-> ts-preserve-other-service,0.5
ts-preserve-service <-> ts-travel-service,0.5
ts-route-service <-> ts-travel-service,0.5
ts-ticketinfo-service <-> ts-travel-service,0.526315789
ts-ticketinfo-service <-> ts-travel2-service,0.526315789
ts-consign-service <-> ts-preserve-other-service,0.533333333
ts-preserve-other-service <-> ts-travel2-service,0.571428571
ts-preserve-other-service <-> ts-security-service,0.571428571
ts-notification-service <-> ts-preserve-other-service,0.571428571
ts-order-other-service <-> ts-security-service,0.636363636
ts-seat-service <-> ts-travel2-service,0.642857143
ts-assurance-service <-> ts-preserve-other-service,0.666666667
ts-auth-service <-> ts-user-service,0.666666667
ts-basic-service <-> ts-station-service,0.730769231
ts-basic-service <-> ts-route-service,0.791666667
ts-basic-service <-> ts-train-service,0.791666667
ts-basic-service <-> ts-price-service,0.826086957
ts-config-service <-> ts-seat-service,0.826086957
ts-seat-service <-> ts-travel-service,0.833333333
ts-food-map-service <-> ts-food-service,1
ts-basic-service <-> ts-ticketinfo-service,1
ts-auth-service <-> ts-verification-code-service,1
ts-route-plan-service <-> ts-travel-plan-service,1
ts-consign-price-service <-> ts-consign-service,1
