interface pair,RWR
GET /api/v1/travel2service/train_types/{tripId} <-> POST /api/v1/travel2service/trips/left,0
GET /api/v1/trainservice/trains <-> GET /api/v1/trainservice/trains/{id},0
GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} <-> GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber},0
GET /api/v1/consignservice/consigns/account/{id} <-> GET /api/v1/consignservice/consigns/order/{id},0
POST /api/v1/orderservice/order/refresh <-> POST /api/v1/orderservice/order/tickets,0
GET /api/v1/travel2service/admin_trip <-> POST /api/v1/travel2service/trip_detail,0
GET /api/v1/stationservice/stations <-> GET /api/v1/stationservice/stations/name/{stationIdForName},0
DELETE /api/v1/routeservice/routes/{routeId} <-> GET /api/v1/routeservice/routes,0
GET /api/v1/orderservice/order <-> POST /api/v1/orderservice/order/tickets,0
POST /api/v1/travelservice/trip_detail <-> POST /api/v1/travelservice/trips/left,0
GET /api/v1/travelservice/routes/{tripId} <-> POST /api/v1/travelservice/trips/left,0
GET /api/v1/stationservice/stations <-> POST /api/v1/stationservice/stations/namelist,0
GET /api/v1/contactservice/contacts <-> GET /api/v1/contactservice/contacts/account/{accountId},0
GET /api/v1/orderOtherService/orderOther <-> GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber},0
GET /api/v1/stationservice/stations/id/{stationNameForId} <-> GET /api/v1/stationservice/stations/name/{stationIdForName},0
GET /api/v1/orderservice/order <-> GET /api/v1/orderservice/order/{orderId},0
GET /api/v1/travel2service/routes/{tripId} <-> POST /api/v1/travel2service/trips/left,0
GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} <-> GET /api/v1/orderOtherService/orderOther/{orderId},0
GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} <-> POST /api/v1/orderOtherService/orderOther/tickets,0
GET /api/v1/orderOtherService/orderOther/{orderId} <-> POST /api/v1/orderOtherService/orderOther/tickets,0
GET /api/v1/orderOtherService/orderOther/{orderId} <-> POST /api/v1/orderOtherService/orderOther/refresh,0
POST /api/v1/travel2service/trip_detail <-> POST /api/v1/travel2service/trips/left,0
GET /api/v1/userservice/users <-> GET /api/v1/userservice/users/id/{userId},0
GET /api/v1/orderOtherService/orderOther <-> POST /api/v1/orderOtherService/orderOther/refresh,0
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> GET /api/v1/orderservice/order/{orderId},0
DELETE /api/v1/routeservice/routes/{routeId} <-> GET /api/v1/routeservice/routes/{routeId},0
GET /api/v1/travelservice/admin_trip <-> POST /api/v1/travelservice/trip_detail,0
GET /api/v1/travel2service/admin_trip <-> GET /api/v1/travel2service/train_types/{tripId},0
GET /api/v1/travel2service/admin_trip <-> GET /api/v1/travel2service/routes/{tripId},0
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> POST /api/v1/orderservice/order/refresh,0
GET /api/v1/travelservice/train_types/{tripId} <-> POST /api/v1/travelservice/trip_detail,0
GET /api/v1/travel2service/routes/{tripId} <-> GET /api/v1/travel2service/train_types/{tripId},0
GET /api/v1/priceservice/prices <-> GET /api/v1/priceservice/prices/{routeId}/{trainType},0
GET /api/v1/orderOtherService/orderOther/{orderId} <-> GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber},0
GET /api/v1/travelservice/admin_trip <-> GET /api/v1/travelservice/routes/{tripId},0
GET /api/v1/foodmapservice/trainfoods/{tripId} <-> POST /api/v1/foodmapservice/foodstores,0
GET /api/v1/orderservice/order <-> GET /api/v1/orderservice/order/security/{checkDate}/{accountId},0
GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} <-> POST /api/v1/orderOtherService/orderOther/refresh,0
GET /api/v1/orderOtherService/orderOther <-> GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId},0
GET /api/v1/contactservice/contacts/account/{accountId} <-> GET /api/v1/contactservice/contacts/{id},0
GET /api/v1/travelservice/admin_trip <-> POST /api/v1/travelservice/trips/left,0
GET /api/v1/travelservice/routes/{tripId} <-> POST /api/v1/travelservice/trip_detail,0
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> POST /api/v1/orderservice/order/tickets,0
GET /api/v1/travel2service/routes/{tripId} <-> POST /api/v1/travel2service/trip_detail,0
GET /api/v1/configservice/configs <-> GET /api/v1/configservice/configs/{configName},0
GET /api/v1/stationservice/stations/id/{stationNameForId} <-> POST /api/v1/stationservice/stations/namelist,0
GET /api/v1/travel2service/admin_trip <-> POST /api/v1/travel2service/trips/left,0
GET /api/v1/orderservice/order/{travelDate}/{trainNumber} <-> POST /api/v1/orderservice/order/tickets,0
GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber} <-> POST /api/v1/orderOtherService/orderOther/tickets,0
GET /api/v1/routeservice/routes <-> GET /api/v1/routeservice/routes/{routeId},0
GET /api/v1/contactservice/contacts <-> GET /api/v1/contactservice/contacts/{id},0
GET /api/v1/travelservice/train_types/{tripId} <-> POST /api/v1/travelservice/trips/left,0
POST /api/v1/orderOtherService/orderOther/refresh <-> POST /api/v1/orderOtherService/orderOther/tickets,0
GET /api/v1/stationservice/stations/name/{stationIdForName} <-> POST /api/v1/stationservice/stations/namelist,0
GET /api/v1/travel2service/train_types/{tripId} <-> POST /api/v1/travel2service/trip_detail,0
GET /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order/tickets,0
GET /api/v1/travelservice/admin_trip <-> GET /api/v1/travelservice/train_types/{tripId},0
GET /api/v1/travelservice/routes/{tripId} <-> GET /api/v1/travelservice/train_types/{tripId},0
GET /api/v1/stationservice/stations <-> GET /api/v1/stationservice/stations/id/{stationNameForId},0
GET /api/v1/orderservice/order <-> GET /api/v1/orderservice/order/{travelDate}/{trainNumber},0
GET /api/v1/orderservice/order <-> POST /api/v1/orderservice/order/refresh,0
GET /api/v1/orderOtherService/orderOther <-> POST /api/v1/orderOtherService/orderOther/tickets,0
GET /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order/refresh,0
GET /api/v1/orderservice/order/{orderId} <-> GET /api/v1/orderservice/order/{travelDate}/{trainNumber},0
GET /api/v1/orderservice/order/security/{checkDate}/{accountId} <-> GET /api/v1/orderservice/order/{travelDate}/{trainNumber},0
GET /api/v1/orderOtherService/orderOther/{travelDate}/{trainNumber} <-> POST /api/v1/orderOtherService/orderOther/refresh,0
GET /api/v1/orderOtherService/orderOther <-> GET /api/v1/orderOtherService/orderOther/{orderId},0
GET /api/v1/orderservice/order/{travelDate}/{trainNumber} <-> POST /api/v1/orderservice/order/refresh,0
GET /api/v1/consignservice/consigns/order/{id} <-> POST /api/v1/consignservice/consigns,0.1
GET /api/v1/consignservice/consigns/account/{id} <-> POST /api/v1/consignservice/consigns,0.1
GET /api/v1/orderOtherService/orderOther <-> GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status},0.128205128
GET /api/v1/orderOtherService/orderOther <-> POST /api/v1/orderOtherService/orderOther,0.131578947
DELETE /api/v1/routeservice/routes/{routeId} <-> POST /api/v1/routeservice/routes,0.388888889
GET /api/v1/orderservice/order <-> POST /api/v1/orderservice/order,0.416666667
GET /api/v1/consignservice/consigns/order/{id} <-> PUT /api/v1/consignservice/consigns,0.5
GET /api/v1/consignservice/consigns/account/{id} <-> PUT /api/v1/consignservice/consigns,0.5
GET /api/v1/orderOtherService/orderOther <-> PUT /api/v1/orderOtherService/orderOther,0.5
GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} <-> GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status},0.641025641
GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId} <-> POST /api/v1/orderOtherService/orderOther,0.657894737
GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status} <-> GET /api/v1/orderOtherService/orderOther/{orderId},0.679487179
GET /api/v1/orderOtherService/orderOther/{orderId} <-> POST /api/v1/orderOtherService/orderOther,0.697368421
DELETE /api/v1/userservice/users/{userId} <-> PUT /api/v1/userservice/users,0.75
POST /api/v1/userservice/users/register <-> PUT /api/v1/userservice/users,0.75
DELETE /api/v1/users/{userId} <-> POST /api/v1/auth,0.833333333
GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status} <-> POST /api/v1/orderOtherService/orderOther/refresh,0.897435897
POST /api/v1/orderOtherService/orderOther <-> POST /api/v1/orderOtherService/orderOther/refresh,0.921052632
DELETE /api/v1/orderservice/order/{orderId} <-> POST /api/v1/orderservice/order/admin,1
DELETE /api/v1/priceservice/prices <-> POST /api/v1/priceservice/prices,1
DELETE /api/v1/configservice/configs/{configName} <-> POST /api/v1/configservice/configs,1
DELETE /api/v1/travel2service/trips/{tripId} <-> POST /api/v1/travel2service/trips,1
DELETE /api/v1/stationservice/stations <-> POST /api/v1/stationservice/stations,1
GET /api/v1/orderservice/order/status/{orderId}/{status} <-> PUT /api/v1/orderservice/order,1
DELETE /api/v1/trainservice/trains/{id} <-> POST /api/v1/trainservice/trains,1
DELETE /api/v1/userservice/users/{userId} <-> POST /api/v1/userservice/users/register,1
DELETE /api/v1/contactservice/contacts/{contactsId} <-> POST /api/v1/contactservice/contacts/admin,1
