service pair,SIP
ts-admin-order-service <-> ts-execute-service,1
ts-admin-order-service <-> ts-inside-payment-service,1
ts-admin-order-service <-> ts-security-service,1
ts-execute-service <-> ts-inside-payment-service,1
ts-execute-service <-> ts-security-service,1
ts-inside-payment-service <-> ts-security-service,1
ts-order-other-service <-> ts-order-service,1
ts-route-plan-service <-> ts-travel2-service,0.916666667
ts-route-plan-service <-> ts-travel-plan-service,0.916666667
ts-rebook-service <-> ts-travel-service,0.909090909
ts-route-plan-service <-> ts-travel-service,0.909090909
ts-preserve-other-service <-> ts-preserve-service,0.9
ts-travel-plan-service <-> ts-travel2-service,0.846153846
ts-rebook-service <-> ts-route-plan-service,0.833333333
ts-travel-plan-service <-> ts-travel-service,0.833333333
ts-travel-service <-> ts-travel2-service,0.833333333
ts-basic-service <-> ts-ticketinfo-service,0.8
ts-rebook-service <-> ts-travel2-service,0.769230769
ts-rebook-service <-> ts-travel-plan-service,0.769230769
ts-admin-order-service <-> ts-cancel-service,0.666666667
ts-cancel-service <-> ts-execute-service,0.666666667
ts-cancel-service <-> ts-inside-payment-service,0.666666667
ts-cancel-service <-> ts-security-service,0.666666667
ts-seat-service <-> ts-travel2-service,0.583333333
ts-admin-travel-service <-> ts-seat-service,0.571428571
ts-preserve-other-service <-> ts-travel2-service,0.55
ts-preserve-service <-> ts-travel2-service,0.55
ts-preserve-service <-> ts-travel-service,0.526315789
ts-admin-basic-info-service <-> ts-basic-service,0.5
ts-admin-user-service <-> ts-user-service,0.5
ts-preserve-other-service <-> ts-route-plan-service,0.5
ts-preserve-service <-> ts-rebook-service,0.5
ts-preserve-service <-> ts-route-plan-service,0.5
ts-route-plan-service <-> ts-seat-service,0.5
ts-ticketinfo-service <-> ts-travel-service,0.5
ts-preserve-other-service <-> ts-travel-plan-service,0.476190476
ts-preserve-service <-> ts-travel-plan-service,0.476190476
ts-seat-service <-> ts-travel-plan-service,0.461538462
ts-rebook-service <-> ts-ticketinfo-service,0.454545455
ts-route-plan-service <-> ts-ticketinfo-service,0.454545455
ts-preserve-other-service <-> ts-travel-service,0.45
ts-admin-basic-info-service <-> ts-ticketinfo-service,0.428571429
ts-preserve-other-service <-> ts-rebook-service,0.428571429
ts-seat-service <-> ts-travel-service,0.416666667
ts-ticketinfo-service <-> ts-travel2-service,0.416666667
ts-ticketinfo-service <-> ts-travel-plan-service,0.416666667
ts-basic-service <-> ts-travel-service,0.4
ts-rebook-service <-> ts-seat-service,0.384615385
ts-admin-basic-info-service <-> ts-travel-service,0.363636364
ts-admin-travel-service <-> ts-route-plan-service,0.363636364
ts-basic-service <-> ts-rebook-service,0.363636364
ts-basic-service <-> ts-route-plan-service,0.363636364
ts-admin-basic-info-service <-> ts-rebook-service,0.333333333
ts-admin-basic-info-service <-> ts-route-plan-service,0.333333333
ts-admin-travel-service <-> ts-basic-service,0.333333333
ts-admin-travel-service <-> ts-food-service,0.333333333
ts-admin-travel-service <-> ts-travel2-service,0.333333333
ts-admin-travel-service <-> ts-travel-plan-service,0.333333333
ts-basic-service <-> ts-food-service,0.333333333
ts-basic-service <-> ts-travel2-service,0.333333333
