service pair,TCP
ts-admin-order-service <-> ts-order-service,1
ts-admin-route-service <-> ts-route-service,1
ts-admin-travel-service <-> ts-travel2-service,1
ts-admin-user-service <-> ts-user-service,1
ts-assurance-service <-> ts-basic-service,1
ts-assurance-service <-> ts-config-service,1
ts-assurance-service <-> ts-consign-price-service,1
ts-assurance-service <-> ts-consign-service,1
ts-assurance-service <-> ts-contacts-service,1
ts-assurance-service <-> ts-notification-service,1
ts-assurance-service <-> ts-order-other-service,1
ts-assurance-service <-> ts-order-service,1
ts-assurance-service <-> ts-price-service,1
ts-assurance-service <-> ts-route-service,1
ts-assurance-service <-> ts-seat-service,1
ts-assurance-service <-> ts-security-service,1
ts-assurance-service <-> ts-station-service,1
ts-assurance-service <-> ts-ticketinfo-service,1
ts-assurance-service <-> ts-train-service,1
ts-assurance-service <-> ts-user-service,1
ts-auth-service <-> ts-verification-code-service,1
ts-basic-service <-> ts-config-service,1
ts-basic-service <-> ts-notification-service,1
ts-basic-service <-> ts-preserve-other-service,1
ts-basic-service <-> ts-preserve-service,1
ts-basic-service <-> ts-price-service,1
ts-basic-service <-> ts-rebook-service,1
ts-basic-service <-> ts-route-plan-service,1
ts-basic-service <-> ts-route-service,1
ts-basic-service <-> ts-seat-service,1
ts-basic-service <-> ts-security-service,1
ts-basic-service <-> ts-station-service,1
ts-basic-service <-> ts-ticketinfo-service,1
ts-basic-service <-> ts-train-service,1
ts-basic-service <-> ts-travel-plan-service,1
ts-cancel-service <-> ts-inside-payment-service,1
ts-cancel-service <-> ts-order-other-service,1
ts-cancel-service <-> ts-order-service,1
ts-config-service <-> ts-notification-service,1
ts-config-service <-> ts-preserve-other-service,1
ts-config-service <-> ts-preserve-service,1
ts-config-service <-> ts-rebook-service,1
ts-config-service <-> ts-route-plan-service,1
ts-config-service <-> ts-seat-service,1
ts-config-service <-> ts-security-service,1
ts-config-service <-> ts-ticketinfo-service,1
ts-config-service <-> ts-travel-plan-service,1
ts-consign-price-service <-> ts-consign-service,1
ts-consign-price-service <-> ts-notification-service,1
ts-consign-price-service <-> ts-preserve-other-service,1
ts-consign-price-service <-> ts-preserve-service,1
ts-consign-price-service <-> ts-security-service,1
ts-consign-service <-> ts-notification-service,1
ts-consign-service <-> ts-preserve-other-service,1
ts-consign-service <-> ts-preserve-service,1
ts-consign-service <-> ts-security-service,1
ts-contacts-service <-> ts-notification-service,1
ts-contacts-service <-> ts-preserve-other-service,1
ts-contacts-service <-> ts-preserve-service,1
ts-contacts-service <-> ts-security-service,1
ts-execute-service <-> ts-order-other-service,1
ts-execute-service <-> ts-order-service,1
ts-food-map-service <-> ts-food-service,1
ts-food-map-service <-> ts-route-service,1
ts-food-map-service <-> ts-station-service,1
ts-food-map-service <-> ts-travel-service,1
ts-food-service <-> ts-route-service,1
ts-food-service <-> ts-station-service,1
ts-notification-service <-> ts-order-other-service,1
ts-notification-service <-> ts-order-service,1
ts-notification-service <-> ts-preserve-other-service,1
ts-notification-service <-> ts-preserve-service,1
ts-notification-service <-> ts-price-service,1
ts-notification-service <-> ts-route-service,1
ts-notification-service <-> ts-seat-service,1
ts-notification-service <-> ts-security-service,1
ts-notification-service <-> ts-station-service,1
ts-notification-service <-> ts-ticketinfo-service,1
ts-notification-service <-> ts-train-service,1
ts-notification-service <-> ts-user-service,1
ts-order-other-service <-> ts-preserve-other-service,1
ts-order-other-service <-> ts-preserve-service,1
ts-order-other-service <-> ts-security-service,1
ts-order-service <-> ts-preserve-other-service,1
ts-order-service <-> ts-preserve-service,1
ts-order-service <-> ts-rebook-service,1
